赵侯保民惠政纪实诗 纪措置夫丁一（宋·邵君美）　　七言绝句　押尤韵	习书来自浒黄州，南北相关事可忧。弓手寨兵差发了，民丁个个是貔貅①。
赵侯保民惠政纪实诗 纪镇静有功二（宋·邵君美）　　七言绝句　押庚韵	官船只只离巴城，邻境如何免得惊。镇日爱人堂上坐，夜更朝鼓转分明①。
赵侯保民惠政纪实诗 纪存恤流民三（宋·邵君美）　　七言绝句　押微韵	南阳过渡尽流移，携子携妻那处依。兴化寺中都住满，俵钱俵米给他归①。
赵侯保民惠政纪实诗 纪犒遣过军四（宋·邵君美）　　七言绝句　押庚韵	客军过县没公凭，百姓惊移怕起争。犒物犒钱皆望外，秋毫无犯奔程行①。
赵侯保民惠政纪实诗 纪置栅关防五（宋·邵君美）　　七言绝句　押寒韵	县方忧北又忧南，无寨无城么障拦。近县路头都置栅，哨鞭直突也应难①。
赵侯保民惠政纪实诗 纪钉截县江六（宋·邵君美）　　七言绝句　押先韵	县江日日过车船，传是官军或不然。截断县江教莫入，民舟方始得安眠①。
赵侯保民惠政纪实诗 纪劝谕发粜七（宋·邵君美）　　七言绝句　押灰韵	米舟米担尽无来，有米有家户不开。急把公文行劝粜，贫民生意挽将回①。
赵侯保民惠政纪实诗 纪出俸钱权当八（宋·邵君美）　　七言绝句　押真韵	库家不典更愁人，作么经营米与薪。自出俸钱权抵当，雪霜时候反如春①。
赵侯保民惠政纪实诗 纪杜绝草窃九（宋·邵君美）　　七言绝句　押庚韵	盗猪何足挠官刑，却恐因兹草寇萌。押向市心搥去手，金场窑卒敢纵横①。
赵侯保民惠政纪实诗 纪团集民舟十（宋·邵君美）　　七言绝句　押寒韵	居民苦要买船般，甲在前湖作一团。好个规模如水寨，风波无恐况风寒①。
赵侯保民惠政纪实诗 纪置安报旗十一（宋·邵君美）　　七言绝句　押寒韵	朝朝探报晓民间，犹更讹传百十般。旗上大书安与急，展开安字一齐安①。
赵侯保民惠政纪实诗 纪帮给官军十二（宋·邵君美）　　七言绝句　押鱼韵	官司调卒过千馀，帮请那知廪帑虚。一发券头支五日，这般调画有谁如①。
赵侯保民惠政纪实诗 纪关防县界十三（宋·邵君美）　　七言绝句　押阳韵	巴湘二界缺关防，不是隅官不说详。费得琴堂数杯酒，南阳一度胜金汤①。
赵侯保民惠政纪实诗 纪哨马伏地十四（宋·邵君美）　　七言绝句　押歌韵	黄花市路苦无多，长乐街头几度过。哨骑欲来先自伏，邦人喜不见兵戈①。
赵侯保民惠政纪实诗 纪百姓感恩十五（宋·邵君美）　　七言绝句　押先韵	花欢柳喜劝耕夫，綵帜如云拥轿前。万口一辞何以祝，福王坐处有青毡①。
