马郎妇（宋·释祖钦）　　七言绝句　押庚韵	谩说教人学诵经，胸中泾渭甚分明。金沙影里无穷数①，散作一滩流水声。
达磨赞（宋·释祖钦）　　七言绝句　押东韵	九年壁观显家风，半是真诚半脱空。一苇不知何处在，长江依旧水流东。
己卯冬日陈世崇来访仰山寺（宋·释祖钦）　　七言绝句　押萧韵	千里相寻慰寂寥，未嫌风雪路迢迢。庐山虽好且休去，更拨寒炉话一宵①。
偈颂二首（宋·释祖钦）	面前明暗两忘时，莽荡乾坤都不知。到此若生毫发见，依前越国又依稀。
送德富藏主之衡（宋·释祖钦）　　押遇韵	集云云外小睡虎，毛色金斑威百步。顶门正眼烁乾坤，等闲亦或生风雨。拂晓出门去何处，衡阳城中访亲故。记之早晚即归来，震雷一喝了此末后句。
送光后堂（宋·释祖钦）	春风恶，春风恶，一夜梅花尽吹落。人来话别欲游吴，踏断东南天一角。春风恶，春风恶，八千里外望西川，从前都是错。
宗正上人（宋·释祖钦）	金襕之外传何物，应道门前倒刹竿。亘古亘今全提句，好向声前著眼看。衲僧衣钵只者是，汝今已得正宗旨。寄集云单号别传，枚数英才先屈指。忽来告假归清江，窗前梅早春渐芳。一枝横出苍烟外，泉声喷雪岩流香。
惠洪上人（宋·释祖钦）	洪濛既判，惠然红日。天地开明，即心是佛。尘沙刹海，遍界发辉。一丝毫头，昧之不得。却须直下掀翻，休为知见所执。受用只此平常，更无玄妙奇特。若是衲僧门下，难免痛棒三十。目今且赠四藤，任便东西南北。回首集云峰，面前青突兀。
送契宁上人（宋·释祖钦）	道契佛祖，身自康宁。行笃言寡，名香德馨。一尘不染，千里前程。番阳浩浩，集云青青。稳泛扁舟短棹，西风浪平。
绍隆上人（宋·释祖钦）	行以德绍，道以时隆。浮薄在彼，端确在躬。衣单下事还一同，道德言行诚明中。语默动静昭日月，折旋俯仰生春风。上人夏在集云峰，倏起湘江归兴浓。庭前索索飘井桐，赤肩担瘦筇。
真惠上人（宋·释祖钦）	将谓如来，惠戒三昧。此语虽真，此意未在。正似湘江两半晴，岳面不开云叆叇。一日升天四海明，杖头掀转却头轻。不移跬步到潭城，相逢历历话前程。
本来上人（宋·释祖钦）	本不曾来亦不去，百二十日如是住。昨夜西风忽转头，花开阑畔木犀树。收拾行囊话起单，集云东湖来去间。双桂枝头冷消息，却与荷花香一般。
庆一上人（闻讣）（宋·释祖钦）	识得一，万事毕，庆快平生是今日。佛祖单传无二心，生死洞然空四壁。匆匆闻讣来归，不碍独行特立。群峰叠乱青，远水漾虚碧。寥寥天地间，来去有何极，韶华自转春无迹。
了恩典座（宋·释祖钦）	十二时中，承谁恩力。俯仰折旋，不须外觅。著衣吃饭，一了便了。开眼天明，是谁不晓。大地沙门只眼睛，丈六金身一茎草。
志满上人（宋·释祖钦）	夫志在谦毋自满，勿以其长跨人短。海因有量天亦聋，人未有德休恃聪。君不见水涸山枯物憔悴，春暖风和蝶蜂至。欲在丛林立此身，学以成其志。
元觉上人（宋·释祖钦）	妙觉明净，元无所觉。如鄱阳湖，秋波不作。亦若匡庐，云平月壑。笠顶西风闲去来，拄杖头边空索索，打碎灵龟壳。
智远上人（宋·释祖钦）	智聪则远，机圆自转。似走盘珠，如万花苑。开落不在春秋，动静不滞去留。云悠悠，水悠悠。天外月如钩，雪峰衮出三个木毬。
克圆上人（宋·释祖钦）　　押先韵	克期取證，功行已圆。湘南潭北，一月在天。五峰深处，万象皎然。相见不须抚背，痛与肋下三拳，掣风掣颠。
觉初上人（宋·释祖钦）	灵觉之初，廓然太虚。巘云平岳顶，海月照珊瑚。描不如，画不如，咏不如，一段灵光今古无。元是兜率桥头，三生藏里夜明珠。
道可道者（宋·释祖钦）	道可道，非常道。名可名，非常名。名既非常，如器中锽。道既非常，如日之光。如器中锽，声出于内。如日之光，光照无方。夫如是乃可称有道之者，非独善一身，而达之万邦。
