弥陀悬鼓相赞（宋·释如珙）　　七言绝句　押支韵	彩云缥缈悬红日，瞻彼慈容大导师。四十八愿丘山重，众生杂念乱如丝。
过竹田西堂无相庵房（宋·释如珙）　　七言绝句　押阳韵	懒举话头嫌鼻祖，烧香那肯礼西方。空房消尽闲心识，日往月来不见长。
清藏主归乡省亲（宋·释如珙）　　七言绝句　押庚韵	入我门来先割爱，胡为旧路又重行。娑婆世界多寒暑，一个皮囊几度生。
送契首座住雁山灵峰（宋·释如珙）　　七言绝句　押元韵	曷送住持芝下寺，祖翁一个破砂盆。寒酸固是难开眼，煮饭犹堪煮菜根。
示椿藏主（宋·释如珙）　　七言绝句　押歌韵	一夏工夫打不彻，百千亿劫不消磨。金乌玉兔长相逐，雁荡峰头见也么。
到中山宝首座房（宋·释如珙）　　七言绝句　押侵韵	岩房终日冷沈沈，经案尘埃一寸深。五十馀年如此过，道人行世太无心。
永藏主到雁荡山放牧寮请益（宋·释如珙）　　七言绝句　押佳韵	老来自病救不了，佛病祖病孰能排。壁上葫芦风打落，床头拄杖被尘埋。
寄予藏主（宋·释如珙）　　七言绝句　押御韵	要成大树作阴凉，放教片心如泥去。云门一举四十九，临济大师无本据。
示莫侍者（宋·释如珙）　　七言绝句　押队韵	参禅只要见得尽，见得尽时无障碍。六个门头长日开，声香味触常三昧。
寄明藏主（宋·释如珙）　　七言绝句　押支韵	一颗如来藏里珠，灵光烁破众人疑。大千沙界无尘土，即是尘劳未脱时。
寄息首座（宋·释如珙）　　七言绝句　押先韵	黄檗三度打临济，睦州合吃棒三千。乾坤儱侗无今古，猛将不来边上眠。
示然侍者（宋·释如珙）　　七言绝句　押微韵	以法传法狮子吼，以心传心铁牛机。十方世界无行路，圆觉空中有路归。
送权侍者游洞庭（宋·释如珙）　　七言绝句　押元韵	七十二峰波面出，卢公去后石屏存。高歌数曲游三日，图画又添僧一尊。
寄梓岩西堂和尚（宋·释如珙）　　七言绝句　押先韵	每问往来兴寝事，惟言闭户自安禅。西丘寿到八十四，住院都卢无十年。
示收侍者（宋·释如珙）　　七言绝句	人言不是面通红，此病流来自劫空。拈出洞山三顿棒，慈明老汉得黄龙。
送灵石齐物长老（宋·释如珙）　　七言绝句　押东韵	方丈守职莫轻忽，自然久久见全功。杨岐只是会监寺，踢出驴儿振祖风。
示明侍者（宋·释如珙）　　七言绝句　押遇韵	布毛吹起便悟去，未吹布毛何不悟。三三九九八十一，云门大师有抽顾。
寄灌顶长老（宋·释如珙）　　七言绝句	半夜鹤鸣山月吟，山翁独坐破柴床。几番劫石成灰去，一点灵光照世明。
示至侍者（宋·释如珙）　　七言绝句　押麻韵	我宗无语亦无法，猕猴各佩古菱花。昏衢烛破无今古，大地众生尽到家。
寄雪窦千峰琬西堂（宋·释如珙）　　七言绝句　押麌韵	千丈崖根芋火香，天上日轮正卓午。东土西乾无祖师，白头老僧七十五。
