喻郎中观我庵（子才）（宋·释宗杲）　　五言绝句　押尤韵	万物备于我，我观卒未休。智者返观我，纵横得自由。
黄智通居士善住庵（宋·释宗杲）　　五言绝句	善住庵中人，从来无所住。只这无住心，便是安身处。
汪状元燕坐轩（圣锡）（宋·释宗杲）　　七言绝句	不于三界现身意，棹举何如愦愦时。寄语轩中燕坐者，好看新月下前溪。
韩司谏乐谷（宋·释宗杲）　　七言绝句　押支韵	人言至乐在此谷，孰信乐为谷所移。以乐均施不乐者，方名真乐丈夫儿。
谢紫岩居士（张侍郎）（宋·释宗杲）　　七言绝句	紫岩分惠建溪茗，妙喜答以青州衫。得人一牛还一马，前三三与后三三。
答刘安抚（方明）（宋·释宗杲）　　七言绝句	毛锥子上通消息，争似亡言绝见知。后夜一轮空界月，清光千里共依依。
寄无垢居士（张侍郎）（宋·释宗杲）　　七言绝句　押真韵	上苑玉池方解冻，人间杨柳又垂春。山堂尽日焚香坐，长忆毗耶多口人。
示汪居士（南叟）（宋·释宗杲）　　七言绝句　押阳韵	一毛头上无边刹，决定识情难测量。直下不生邪险见，壶中日月自然长。
示了然居士（举之）（宋·释宗杲）　　七言绝句　押先韵	长乐沙坑郑了然，不依本分要参禅。自言已到无参处，哥罗管尔米疆年。
示韩令人（子苍宅）（宋·释宗杲）　　七言绝句　押遇韵	说不到处著一句，风前截断千差路。超佛越祖只如今，壁立万仞无回互。
示大悲长老（宋·释宗杲）　　七言绝句	一棒打破生死窟，当时凡圣绝行踪。返笑赵州心不歇，老来犹自走西东。
示弥光禅人（宋·释宗杲）　　七言绝句　押灰韵	龟毛拈得笑咍咍，一击万重关锁开。庆快平生在今日，孰云千里赚吾来。
示祖元禅人（宋·释宗杲）　　七言绝句	万仞崖头解放身，起来依旧却惺惺。饥餐渴饮浑无事，那论昔人非昔人。
示遵璞禅人（宋·释宗杲）　　七言绝句	一口吞尽三世佛，正是吾家客作儿。争似璞禅无用处，一毛头上便忘机。
送超僧鉴（宋·释宗杲）　　七言绝句	桶底脱时大地阔，命根断处碧潭清。好将一点红炉雪，散作人间照夜灯。
寄福胜长老（宋·释宗杲）　　七言绝句　押语韵	真人十八界元空，三十一人同姓吕。分散游山各占山，三十一人又同处。
寄归宗华侄禅师（宋·释宗杲）　　七言绝句	坐断金轮第一峰，千妖百怪自潜踪。年来又得真消息，说道杨岐正脉通。
若怀首座求赞归洋屿庵（宋·释宗杲）　　七言绝句　押先韵	吾于闽有大因缘，夜梦昼思无间然。他日定归洋屿去，楞伽室内作终焉。
阅藏后题智證庵壁（宋·释宗杲）　　七言绝句　押虞韵	柏子拈来香满庐，蒲团静里结跏呋。三年过眼千千卷，此际分明一字无①。
方敷文请升堂举那吒太子因缘（宋·释宗杲）　　押祃韵	骨肉都还父母了，不知那个是那吒。一毛头上翻身转，一一毛头浑不差。
