威烈王（宋·徐钧）　　七言绝句　押尤韵	大柄潜移势可忧，朝纲未正况诸侯。时人只咎轻分晋，不道东西已剖周。
安王（宋·徐钧）　　七言绝句　押尤韵	名器君司戒妄求，倖门一启国深忧。请看三晋叨封后，便有田齐亦效尤。
烈王（宋·徐钧）　　七言绝句　押阳韵	齐为沽名特觐王，当时国势岂真强。计来小缓庸何责，引得无君丑语扬。
显王（宋·徐钧）　　七言绝句　押阳韵	国微地蹙政无纲，其奈嬴秦势日强。遣胙已非仍入贺，却因致霸遽称王①。
三晋（宋·徐钧）　　七言绝句　押真韵	二百年馀主夏盟，尊攘事业古无伦。若非剖一为三后，未必舆图尽入秦。
魏文侯（宋·徐钧）　　七言绝句　押东韵	闻道西河久服从，陶成国治蔼文风。政缘馀泽沾洙泗，比似群侯故不同。
韩昭侯（宋·徐钧）　　七言绝句　押东韵	敝裤囊中犹惜予，高门旱后忽兴工。如何奢俭初终异，一相存亡事不同。
齐威王（宋·徐钧）　　七言绝句　押阳韵	赏罚严明国富强，独能仗义一朝王。周纲此日微如发，独有人心理未亡。
魏惠王（宋·徐钧）　　七言绝句　押支韵	鞅已归秦膑入齐，有才不用孰持危。后来医国非无药，仕义良方惜不施。
赵武灵王（宋·徐钧）　　七言绝句　押阳韵	宗周削弱列侯强，僭拟谁知有陛堂。独有武灵知大节，称君已足不称王。
齐宣王（宋·徐钧）　　七言绝句　押歌韵	鼓钟苑囿乐如何，货色贪淫勇更多。伐国交邻徒屡问，用贤曾不到邹轲。
燕昭王（宋·徐钧）　　七言绝句　押灰韵	尝胆深思报复来，经纶须仗出群才。仇齐一扫如风叶，只为黄金早筑台①。
卜子夏（宋·徐钧）　　七言绝句　押歌韵	宣尼生不到西河，圣化难沾觖望多。商也天教生独晚，为分一脉阐文科。
田子方（宋·徐钧）　　七言绝句　押支韵	君侯坐问所从谁，极口惟谈顺子奇。可叹今人多不让，始知无择解称师。
段干木（宋·徐钧）　　七言绝句　押东韵	喻垣走避见难通，闾式君侯礼谩隆。一点高风真可畏，解令敌国不兴戎。
孟轲（宋·徐钧）　　七言绝句　押真韵	战国谁能识道真，故将性善觉生民。七篇切切言仁义，功利场中有此人①。
荀卿（宋·徐钧）　　七言绝句　押支韵	老废兰陵已可悲，著书强欲晓当时。一言性恶真成缪，读者何云但小疵。
屈原（宋·徐钧）　　七言绝句　押阳韵	托兴妃嫔疑亵嫚，幻言神怪似荒唐。若无一点精忠节，未必文争日月光①。
卫鞅（宋·徐钧）　　七言绝句　押寒韵	心术刑名太刻残，网深文峻众心寒。仓忙客舍无归处，始悔当年法欠宽。
申不害（宋·徐钧）　　七言绝句　押庚韵	相国终身保治平，不同非鞅死刑名。只缘用志能卑逊，纵曰伤残亦觉轻。
