最明寺殿悟道后赠之助道颂五首（宋·释普宁）　　七言绝句	老僧初到与三拳，埋恨胸中结此冤。痛恨忽消开正眼，方知吾不妄宣传。
无锡刘相干（佑）笃信佛法常来参请自和雪窦罂粟颂来呈老僧即次韵酬之云（宋·释普宁）　　七言绝句　押真韵	一实包含万点春，收来粒粒是家珍。些儿圆转谁能委，唯一身分百亿身①。
铁壁（宋·释普宁）　　七言绝句	刚然隔断太虚空，缝罅浑无拶不通。顽钝碓夫觑不破，倩人书处转乖宗。
铁牛（宋·释普宁）　　七言绝句　押先韵	骨格纯刚蹄角全，轩然鼻孔自辽天。不贪陕府栏边草，肯遍耕翻祖父田。
海月（宋·释普宁）　　七言绝句	金波涌出烂银盆，黑白亏盈湛不痕。莫谓清波无透路，珊瑚枝上影团团。
竹溪（宋·释普宁）　　七言绝句　押寒韵	空服高心耐岁寒，滔滔声价没遮拦。自从南北分枝派，搅动江西十八滩。
亮知客（宋·释普宁）　　七言绝句　押寒韵	主中宾句验来端，四海禅流总被瞒。铁磨机轮难比拟，逢人即出舌翻澜。
南洲（宋·释普宁）　　七言绝句　押庚韵	赡部那边沙际间，鬨然魔子恣纵横。周金刚带不平气，勘破却从潭上行①。
樗寮字阿弥陀经书偈送最明寺殿（宋·释普宁）	我有大经卷，量等三千界。亲付最明殿，祝寿如沧海。但愿得此经，当下明此心。的知胡达磨，元不在少林。
偈颂四十一首（宋·释普宁）	迷悟两门，圣凡二路。总与诸人开辟了也，普请一时證入①。
最明寺殿契悟说付法偈（宋·释普宁）	我无佛法一字说，子亦无心无所得。无说无得无心中，释迦亲见燃灯佛。
偈颂二十一首（宋·释普宁）　　押阳韵	檀那梦见大栋梁，高僧罗汉满云堂。慷慨重新铺盖就，比之兜率更尤强。衲子办道耐长久，成佛作祖法中王。下等愚迷无正念，镕铜灌口卧铁床。
雪窦前堂音座寮有炼指行人求颂（宋·释普宁）　　押尤韵	未彻根源肯便休，炼磨三种愈精修。发辉自己光明藏，抹过俱胝一指头。
写华严经求颂（宋·释普宁）　　押真韵	破一微尘出此经，因该果海果该因。无端却被管城子，名句文俱错指陈。
画髑髅檐人我檐者求颂（宋·释普宁）　　押侵韵	自从尘劫至于今，执著无明人我心。蓦忽眼睛俱突出，乾坤大地孰知音。
偈颂四十一首 其二十七（宋·释普宁）　　押麻韵	直下犹通信班会，寻言转更赊。若言佛与祖，特地隔天涯。
最明梦一善知识教训坚固参禅醒后亲绘供养越两年值老僧到先来参礼果与梦见一同契悟后捧呈所画顶相求赞（宋·释普宁）	千煅万炼工夫熟，感得梦见善知识。力劝加工用行修，果获契悟心满足。自彰丑恶自涂糊，佛祖仰望俱失色。老僧更与添一重，急急如律令敕。
出山相赞（宋·释普宁）　　押屑韵	入山出山，何异何别。六年所成，一时漏泄。那堪满口嚼冰雪。
渡江达磨赞（宋·释普宁）	道个不识，自生荆棘。曈曈渡江，忍羞面壁。赖有神光与雪屈。
寒山拾得赞（宋·释普宁）　　押支韵	指东画西，眼笑眉垂。心似秋月，发如乱丝。吟句不成句，题诗不是诗。丰干轻饶舌，败缺一时知。善哉苦哉，敢称七佛之师。
