明道（宋·释道颜）　　七言绝句　押微韵	心如墙壁眼如眉，月饵烟蓑下钓矶。湛湛寒光凝一片，波澜不犯取鱼归。
示众（宋·释道颜）　　七言绝句　押尤韵	无用顽皮作气毬，谁人趯得上高楼。如今潦倒浑无力，辊得行时即便休。
赞达磨（宋·释道颜）	五乳峰前，九年冷坐。孤风绝攀，名不敢涴。断臂嗣芳，贱卖滞货。螟蛉有子，负之蜾蠃。即说咒曰，类我类我。
与洞照禅人（宋·释道颜）　　押职韵	拔出赵州舌头，去却当门荆棘。归家倒卧横眠，冷笑奔南走北。
颂古（宋·释道颜）	是非海里横身人，豺虎群中自在行。莫把是非来辨我，平生穿凿不相关。
偈七首（宋·释道颜）	一叶落，天下秋。一尘起，大地收。鸟窠吹布毛，便有人悟去。今时学者，为甚么却不识自己。
颂古八首（宋·释道颜）　　押尤韵	牛头菩萨面，马面夜叉头。不作五逆罪，快乐百无忧。
偈（宋·释道颜）	坐佛床，斫佛脚，不敬东家孔夫子，却向他乡习礼乐①。
颂一首（宋·释道颜）	唤似一物非他物，天上天下出还没。道是无来常现前，道是有来寻不得。说有说无俱妄想，长安大道平如掌。昨夜清寒惊觉时，手爪元来会抓痒①。
颂古二十首（宋·释道颜）　　押庚韵	七处徵心款便成，推穷寻逐按分明。都缘家贼难防备，拨乱乾坤见太平。
自赞（宋·释道颜）	来自三川，应缘两浙。肩担华木瓜重担，肚束马簸箕三篾。饭咬铁钉，羹煮木札。要是圆悟见儿孙，丧却杨歧家法。奸汉多疑，黠儿落节。
