十六字令（清·钟筠）	堤。畔柳翩跹长短亭。行人去，几长见青青。
生查子 和钱淑仪查妇人（清·钟筠）	斜月逗湘帘，捲映银河浅。翠幕暮寒生，阵阵西风剪。蟋蟀入床头，似诉幽人怨。清影到梧桐，寂寞闲庭院。
点绛唇 秋闺（清·钟筠）	万籁无声，小园恰是深山静。惜花人病。懒向雕栏凭。月上高枝，枕弄芭蕉影。帘栊迥。西风绕定。挑落灯花冷。
浣溪沙 题杨倩玉闺友远山遗稿（清·钟筠）	怅望巫山一段云。落花飞絮奈温存。莫教容易诉离魂。蝴蝶枕前思旧梦，杜鹃声里泣馀春。凄风苦雨作黄昏。
浣溪沙 和杨倩玉“那不教人说可怜”起句（清·钟筠）	那不教人说可怜。彩云吹断惜花天。娇春杨柳泣朝烟。莲子蜂房犹未结，桐丝凤啄已难粘。夕阳楼阁水如天。
浣溪沙 初夏（清·钟筠）	开到荼蘼花已残。垂帘犹自怯春寒。困人时候雨连纤。燕子将雏声细细，荷钱虽小叶团团。一庭芳草绿如烟。
减字木兰花 春晓（清·钟筠）	晓莺破梦。九十春光谁与共。望眼迷离。粉蝶梨花一处飞。东风无力。小院回廊春寂寂。悄傍妆台。明镜无端引恨来。
减字木兰花 读余夫人《兰馨集》，偶摘佳句，填词寄怀（清·钟筠）	深深庭院。乍卷珠帘朝雨散。云外清江。花里琵琶应绕梁。梦魂飞去。却怪韶光留不住。远树风微。但见青山列画眉。
减字木兰花 前题（清·钟筠）	风来水面。片片落花随涧转。莺语垂杨。佳句题成吐异香。曈曈旭日。惆怅春风空独立。嫩绿残红。人在芙蓉水阁中。
减字木兰花 前题（清·钟筠）	菱花娇映。巧画娥眉难与并。上苑花开。无数飞红逐浪回。融融淑气。袅袅芙蕖初出水。燕语流香。寂寞重门春恨长。
阮郎归 送别长姊父夫人（清·钟筠）	临风洒泪唱骊歌。啼痕沁薄罗。小楼又见雁南过。秋风秋雨多。思缱绻，怨蹉跎。愁肠似掷梭。开轩对月问姮娥。此情可奈何。
西江月 题海昌陈相国夫人徐湘萍《拙政园词》后。（清·钟筠）	灯火平津阁上，莺花拙政园中。五云深处凤栖东。一枕辽西幽梦。苏蕙回文锦字，班家团扇秋风。龙吟鹤和几人同。声压南唐北宋。
南歌子 寄七秭查夫人眉令（清·钟筠）	翠钿同时换，冰弦对月调。娥眉犹忆一般描。肠断离人，风雨听吹箫。寂寞愁春尽，殷勤记昨宵。休将短棹逐春潮。何日重来，研露共题蕉。
南歌子 寄四姊吴夫人山容（清·钟筠）	刺绣工夫巧，评棋逸兴赊。西园携手看蜂衙。无数闲情，都付夕阳斜。世事流如水，人情幻似花。一庭香雪冷窗纱。两地愁怀，应共此些些。
南乡子 送七姊还海昌（清·钟筠）　　押尤韵	细雨动离愁。牙尺并刀记小楼。不道今宵真个别，难留。怪煞风前一叶舟。锦字莫沉浮。双鲤频看溪水流。三尺瑶琴还在壁，凝眸。指上宫商叹白头。
蝶恋花 春闺（清·钟筠）	为惜明花春起早。人比花娇，添个莺簧巧。十二栏杆都倚到。东风牵惹游丝袅。嫩日窥窗风景好。青粉墙东，红紫光相照。结伴踏青闲斗草。只愁花信催人老。
爪茉莉 寄如嫂方眉士（清·钟筠）	独坐纱窗，听风凄雨苦。雕栏外、云歌柳舞。兽炉烟袅，有谁共、知心密语。又几回、漫托瑶琴，争奈琴心不许。寄题分韵，倚屏山、颦眉妩。蓦地里、闲愁无数。花笺砑就，难写愁肠千缕。细沈吟、试问愁来何处。为甚竟迷出路。
满江红 春去（清·钟筠）	九十春光，看飞絮、凭空潇洒。昼渐永、短红长绿，香飘兰麝。寂寞燕归芳草岸，凄凉烟锁斜阳下。怎风轻云淡养花天，都催谢。梅花赋，莲花社。菱波皱，春山画。倚云屏兀坐，鸾笺慵砑。架上荼蘼吹晓雨，帘前鹦鹉调新话。更杜鹃啼血到无声，难留也。
意难忘 春日感怀，寄七妹查夫人（清·钟筠）	晓日烘窗，看柳眠花笑，做尽春光。远山横黛绿，碧水卸馀香。千叠意、九回肠。但抚景凄怆。任满庭、红情紫态，蝶乱蜂忙。堪伤去路茫茫。见寻春士女，逸兴如狂。偎花识面去，对月又相将。帆影断、暮云傍。有归雁成行。更那堪、花阴寂寂，月转西廊。
多丽 秋夜（清·钟筠）	倚回廊。西风初透罗裳。夜沉沉、碧天如画，银河远泻垂杨。问何处、野猿啼啸，曾经见、孤雁翱翔。绣户寒砧，谯楼戍鼓，数声和月到纱窗。回文字、争传苏蕙，愧杀谢秋娘。更何须，莺调蝶拍，柳舞桃妆。忆年时、花开旧院，黄鹂巧弄笙簧。按红牙、歌翻新律，擎玉斝、杯底生香。露冷烟青，桑移海换，教人底处问秋光。又无端、砌蛩悲咽，桐叶响银床。凝思里，夜阑人静，灯影幢幢。
