韦驮天变相赞（宋·释广闻）　　五言绝句　押真韵	横两腕中杵，现堆云里身。权中示权处，依旧是天人。
郁山主赞（宋·释广闻）　　五言绝句　押职韵	野水小桥外，诸峰凛寒色。被驴子一交，至今翻不得。
政黄牛赞（宋·释广闻）　　五言绝句　押语韵	人牛两相忘，又向桥边去。眼明双鹭鹚，无非是熟处。
李源访圆泽赞（宋·释广闻）　　五言绝句　押语韵	相看已瞭然，安用频频举。长笛不禁闻，又随烟棹去。
熊公见西山赞（宋·释广闻）　　五言绝句	一见能全机，隐身定无路。遇犹不遇时，病在回头处。
陶渊明赞（宋·释广闻）　　五言绝句　押祃韵	和露锄豆苗，不觉日又夜。飘然从何来，定在南山下。
许宣平赞（宋·释广闻）　　五言绝句　押有韵	全肩担荷时，落日重回首。世无相逢人，先生不在酒。
孟东野赞（宋·释广闻）　　五言绝句　押支韵	人知琴无弦，无琴无人知。独立天地间，知音复是谁。
种竹（宋·释广闻）　　七言绝句　押阳韵	香严活葬在南阳，知是所知忘未忘。猛虎不应餐伏肉，听教风雨细商量。
送僧归蜀（宋·释广闻）　　七言绝句　押先韵	曾经巴峡听啼猿，万想千思举不全。一万里风吹梦转，月明人上锦江船。
送昭书记归径山（宋·释广闻）　　七言绝句　押阳韵	错下凌霄恨不忘，百城烟水漫茫茫。思量六十蒿枝拂，铁打心肝也断肠。
看潮（宋·释广闻）　　七言绝句　押尤韵	怒雷声撼海门秋，知是几家人上楼。眼眼尽随波浪转，全潮端的属谁收。
褙语录（宋·释广闻）　　七言绝句	路不赍粮笑复歌，三更月下入无何。太平谁整闲戈甲，王库初无如是刀。
送愚庵和尚赴资福（宋·释广闻）　　七言绝句　押尤韵	十分消息在竿头，片甲纤鳞未足收。怪得一番浮子动，西湖明月上金钩。
古剑（宋·释广闻）　　七言绝句　押先韵	干戈罢却复何言，六国风清令不传。犹有当时太平意，尘埋三尺髑髅前。
花翁（宋·释广闻）　　七言绝句　押东韵	传来五叶到渠侬，略露些儿便不同。自是普通年远事，莫将一样看春风。
送祖上人归蜀（宋·释广闻）　　七言绝句　押麻韵	只因月下瓮吞蛇，赢得南来两眼花。换手槌胸应有日，知他死款属谁家。
送布袋像与妙峰和尚（宋·释广闻）　　七言绝句　押支韵	百千诸佛竖降旗，大法犹悬一缕丝。问讯率陀老慈氏，只是恰是下生时。
放牛（宋·释广闻）　　七言绝句　押支韵	呜咿声断笛横时，满目春风不自知。脚后脚前者些子，入渠群队听渠疑。
拜大梅常禅师塔（宋·释广闻）　　七言绝句　押歌韵	声前借路谩经过，望却梅林自倒戈。八十四人屙漉漉，阿师犹更带誵讹。
