辞世（宋·释原妙）　　五言绝句　押删韵	来不入死关，去不出死关。铁蛇钻入海，撞倒须弥山。
示如法禅人（宋·释原妙）　　七言绝句　押微韵	识得根源认得伊，全身犹堕在尘围。纵然和座都掀倒，尚有烟霞绕翠微。
云庵（宋·释原妙）　　七言绝句　押灰韵	或淡或浓拖雨去，半舒半捲逆风来。为怜途路无栖泊，却把柴扉永夜开。
示徒（宋·释原妙）　　七言绝句　押青韵	学道如初莫变心，千魔万难愈惺惺。直须敲出虚空髓，拔却金刚脑后钉。
又示徒（宋·释原妙）　　七言绝句　押支韵	工夫果的有真疑，动静寒暄总不知。枕子蓦然开口笑，钵盂𨁝跳上须弥。
示如梦禅人行脚（宋·释原妙）	閒处休居静莫住，转入转深转幽固。纵至深深尽底时，更须知有那一步。昔日曹溪亲到来，今时往往多差互。若非丧尽目前机，倒岳倾湫无觅处。
山中四威仪供佛鉴师翁韵（宋·释原妙）　　押庚韵	山中行，步高身尽轻。拟飞去，惟恐世人惊。
示淳谦首座持钵（宋·释原妙）	千家万家，总是维摩丈室。十斛百斛，无非达磨眼睛。若向遮里会得，何劳向外经营。其或未然，咄，酒肆淫坊休放过，龙宫虎穴要亲临。
师子院明初院主请（以下自赞）（宋·释原妙）	鼻无两窍，眼露双睛。十分无面目，一味得人憎。将正续三世之业，等閒籍没。向白云千峰之上，特地掀腾。坐断死关，幸自恶声难掩。那更被伊描邈，转见可怜生。呵呵呵，三十年后，宁无人路见不平。
大觉禅师祖雍长老请（宋·释原妙）	中大仰毒，奋师子威。平生负重病，举世无良医。向莲峰插一茎草，为少室发千钧机。舌头无骨，额下生眉。唤作开山即错，不唤作开山犹非，从教后代乱针锥。
西隐接待师立山主请（宋·释原妙）	乌豆眼睛生铁面，直向孤峰顶上。将无米饭塞断天下衲子咽喉，固是家常，因甚更教人参个一归何处。吽，忆著江南三月天，马塍西畔春无数。
双髻禅庵请（宋·释原妙）	恣无明，逞人我。诽释迦，骂达磨。虽是赤心，返成话堕。六年坐铺卖不行，至今被人唤作滞货。
室中三关（宋·释原妙）　　押药韵	杲日当空，无所不照，因甚被片云遮却。
示徒三戒（宋·释原妙）　　押元韵	开口动舌，无益于人，戒之莫言。
偈颂六十七首（宋·释原妙）	谈玄谈妙，说性说心。攒花簇锦，巧妙尖新。如麻似粟，从古至今。莫不皆是乘虚接响底汉，倚草附木精灵。山僧虽是他家种草，决定不向遮里藏身①。
颂古三十一首（宋·释原妙）　　押麻韵	灵山拈出一枝花，百万都来是作家。惟有饮光犹未瞥，那堪眼里又添沙。
颂赵州无字示陈太尉（宋·释原妙）　　押寒韵	澄潭千载毒龙蟠，倒岳倾湫谁解看。直下一刀成两段，虚空粉碎髑髅乾。
偈颂十二首（宋·释原妙）　　押真韵	欲明种子因，熟读上大人。若到可知礼，盲龟跛鳖亲。
颂古五首（宋·释原妙）　　押麻韵	涅槃地狱本无差，只为从来被眼遮。三脚瞎驴才𨁝跳，镬汤垆炭即吾家①。
观音大士赞（宋·释原妙）	大海波心，磐陀石上。真观净观，是相非相。如月在天，无水不现。水月俱捐，如何瞻仰。咄，切忌妄想。
