箍桶颂（宋·陈楠）　　五言绝句　押东韵	有漏教无漏，如何水泄通。既能圆密了，内外一真空。
金丹诗诀（宋·陈楠）　　七言绝句　押先韵	半斤真汞半斤铅，隐在灵源太极先。须趁子时当采取，鍊成金液入丹田。
盘栊颂（宋·陈楠）　　七言绝句　押元韵	终日盘盘圆又圆，中间一位土为尊。磨来磨去知多少，个里全无斧凿痕。
紫庭经（宋·陈楠）	绛宫天子统乾乾，乾龙飞上九华天。天中妙有无极宫，宫中万卷指玄篇。篇篇皆露金丹旨，千句万句会一言。教人只在寻汞铅，二物采入鼎中煎。夜来火发昆崙山，山头火冷月光寒。曲江之上金乌飞，姮娥已与斗牛欢。采之鍊之未片饷，一气渺渺通三关。三关来往气无穷，一道白脉朝泥丸。泥丸之上紫金鼎，鼎中一块紫金团。化为玉浆流入口，香甜清爽透舌端。吞吞服服入五内，脏腑畅甚身康安。赤蛇苍龙交合时，风恬浪静虎龙蟠。神水湛湛华池静，白雪纷纷飞四山。七宝楼台十二时，楼前黄花深可观。即此可谓铅汞精，化作精髓盈关源。但去身中寻周天，前弦以后后弦前。药物平平气象足，天地日月交会间。虚空自然百杂碎，嚼破混沌软如绵。番来覆去成一钱，遍体玉润而金坚。赤血换兮白血流，金光满室森森然。一池秋水浸明月，一朵金花如红莲。此时身中神气全，不须求道复参禅。我今知君如此贤，知君有分为神仙。分明指示无两语，默默运用而抽添。年中采用不用年，月中取日月徒然。日中取时时易日，时中有刻而玄玄。玄之又玄不可言，元来朔望明晦弦。金翁姹女夺造化，神鬼哭泣惊相喧。云收雨散万籁静，一粒玄珠种玉田。十月火候圣胎仙①，九转九朔②相回旋。初时夹脊关脉开，其次膀胱如火然。内中两肾如汤煎，时乎挑动冲心源。心肾水火自交感，金水间隔随③使然。黄庭一气居中宫，宫制万象心掌权。水源清清如玉镜，孰使河车如行船。一霎火焰飞烧天，乌魂兔魄成微尘。如斯默默觅真筌，一路径直入灵真。分明精气④以气存，渐渐气积以生神。此神乃是天地精，纯阳不死为真人。若知如此宜修仙，修仙惟有金丹门。金丹亦无第二诀，身中一亩为家园。唾涕精津气血液，七件阴物何正⑤焉。坎中非肾乃灵根，潭底日红北马奔。七返九还在片时，一切万物皆生成。惟此乾坤真运用，不必兀兀徒无言。无心无念神已昏，安得凝聚成胎仙。胎仙只是交结成，交结惟在顷刻间。君还知有太阳回，正在冬至几日前。又言金精既降时，复以何物复金精。金精只在坤宫药，坤在西南为川源。蟾光终日照西川，只此便是药之根。以时易日刻易时，一滴甘露名灵泉。吞入心中冲肺腧，落在膀胱而成丹。丹头不在膀胱结，元在膀胱却在肝。肝为木液遇金精，逢土交结成大还。莫言此时有为功，又恐斯为著相言。始于著相始无相，鍊精化气气归根。气之根本凝成神，方曰无为而通灵。譬如夫归交媾时，一点精血结成婴。彼之以情而感情，尚且婴儿十月成。何况宇宙在乎手，身中虎啸龙吟声。虽然不见龙之吟，波浪高涌千万寻。虽然不见虎之啸，夜深风声吼万林。自乎丹道凝结后，以至火候烹鍊深。及于十月霜飞时，神魂奔走安敢争。一年都计十二月，卯酉沐浴谁敢行。所以十月入神室，金鼎满满龙精盈。缚云捉月之机关，得诀修鍊夫何难。果然缚得云在山，又解捉住月之魂。点头此语知古人，何虑不把身飞升。身之壳兮心之肉，心中自有无价珍。可以生我复死我，既能饥人亦饱人。寻其毳路取其原，逍遥快乐无饥寒。似此景象与證验，总在一日工夫间。工夫如此譬似闲，药不远兮采不难。谁知火候⑥万丈红，烧杀三尸玉炉寒。丹田亦能生紫芝，黄庭又以生红𥽷。红𥽷一餐永不饥，紫芝一服常童颜。满身浑是白乳花，金筋玉骨老不昏。功成行满鹤来至，一举便要登云端。
大道歌（宋·陈楠）	真阴真阳是真道，只在眼前何远讨。凡流岁岁烧还丹，或见青黄自云好。志士应愿承法则，莫损心神须见道。但知求得真黄芽，人得食之寿无老。黄芽不与世铅同，徒以劳身不见功。虚度光阴空白首，何处悠悠访赤松。神水华池世所希，流传不与俗人知。还将世上凡铅汞，相似令人迷不知。青龙逐虎虎随龙，赤禽交会声嗈嗈。调气运火逐禽宫，丹砂人腹身冲冲。五行深妙义难知，龙虎隐藏在坎离。还丹之术过数百，最妙须得真华池。丹砂其位元非赤，四季排来在南宅。流珠本性无定居，若识其原如秋石。日魂月华二气真，含胎育子自堪神。变转欲终君自见，分明化作明窗尘。铅汞一门不可依，金丹秘诀圣无知。莫将世人凡铅汞，论年运火共相持。天生二物应虚无，为妻为子复为夫。三五之门为日月，能分卯酉别终初。全养天然禀至神，冲和之气结成身。富贵只缘怀五彩，心知铅汞共成亲。乾坤不互相为避，采取元和在天地。十月养成子母分，贤者何曾更运气。玄黄溟溟不可辨，铅汞之门义难显。世人不晓定其源，细视五行定听见。婴儿漠漠不可悟，徒以劳神虚自苦。但知会得圣人言，即是分明天上路。三四同居共一室，一二夫妻为偶匹。要假良媒方得亲，遂使交游情意密。浮沉恍惚往难辨，悟取迷途年月远。欲知灵药何日成，阳数终须归九转。阴阳冥寞不可知，青龙白虎自相持。年终变转自相啖，白虎制龙龙渐稀。乾天为父坤为母，南方朱雀北玄武。年终岁久俱成土，时人何处寻龙虎。三人义合同为宗，常移日月照其中。已遇三花金玉液，九转须终十月功。青龙本质在东宫，配合乾坤震位中。白虎自兹相见后，流珠那肯不相从。龙虎修来五转强，炉中渐觉菊花香。如今修鍊正当节，莫使悠悠岁月长。欲识丹砂是木精，移来西位与金并。凡人休处寻踪迹，恍惚中间互窅冥。悟者犹如返故武，迷途不易寻路苦。三人运合同一源，本姓何曾离宗祖。一人本有一人无，金公为妇木为夫。玄冥深远不可度，志士何曾肯强图。立天汪汪配地黄，男精和合并同房。白液炉户随分化，时人服者瑩心凉。金木伤相谁定原，五行相返自相连。世上黄龙阴火白，谁能识得黄芽铅。世上铅汞不相依，志士元知在坎离。贤者共藏人不见，淮南修秘在华池。九转丹成岁欲终，开炉欲见药花红。水火变来俱作土，时人何处觅金翁。铅汞相传世所希，丹砂为质雪为衣。朦胧只在君家舍，日日君看君不知。还丹入口身自轻，能消久病去妖精。贪爱自兹无所染，能改愚人世与情。谁悟灵丹出世尘，三花会合与龙亲。君看前后鍊丹者，误杀千人与万人。
罗浮翠虚吟（宋·陈楠）	嘉定壬申八月秋，翠虚道人在罗浮。眼前万事去如水，天地何处一沙鸥①。吾将蜕形归玉阙，遂以金丹火候诀。说与琼山白玉蟾，使之深识造化骨。道光禅师薛紫贤，付我归根复命篇。指示铅汞两个字，所谓真的玄中玄。辛苦都来只十月，渐渐采取渐凝结。而今通神②是白血，已觉四肢无寒热。后来依旧去参人，勘破多少野狐精。个个不是真一处，都是旁门不是真。恐君虚度此青春，从头一一为君陈。若非金液还丹诀，不必空自劳精神。有如迷者学采战，心心只向房中恋。谓之阴丹御女方，手按眉间③吸气咽。夺人精气④补吾身，执著三峰信邪见。产门唤作生身处，九浅一深行几遍。轩后彭祖老容成，黄谷寿光赵飞燕。他家别有通霄路，酒肆淫坊戏历鍊。莫言花里遇神仙，即把金篦换瓦片。树根已朽叶徒青，气海波翻死如箭。其他有若诸旁门，尚自可结安乐缘。有如服气为中黄，有如守顶为混元。有如运气为先天，有如咽液为灵泉。或者脾边认一穴，执定为之呼吸根。或者口鼻为玄牝，纳清吐浊为返还。或者默朝高上帝，心目上视守泥丸。与彼存思气升降，以此谓之夹脊关。与彼闭息吞津唾，谓之玉液金液丹。与彼存神守脐下，与彼作念相眉间。又如运心思脊骨，又如合口柱舌端。竦肩缩颈偃脊背，唤作直入玉京山。口为华池舌为龙，唤作神水流潺潺。此个⑤旁门安乐法，拟作天仙岂不难。八十放九咽其一，聚气归脐谓胎息。手持念珠数呼吸，水壶土圭则时刻。或依灵宝秘法行，直勒尾闾咽津液。或参西山会真记，终日无言面对壁。时人虽是学坐禅，何曾月照寒潭碧。时人虽是学抱元，何曾如玉之在石。或言大道本无为，枯木灰心孤默默。或言已自显现成，试问幻身何处得。更有劳形采日月，谓之天魂与地魄。更有终宵服七曜，谓之造化真血脉。更有肘后飞金精，气自腾腾水滴滴。更有太乙含真气，心自冥冥肾寂寂。有般循环运流珠，有般静定想朱橘。如斯皆是养命方，即非无质生灵质。道要无中养就儿，个中别有真端的。都缘简易妙天机，散在丹书不肯泄。可怜愚夫自执迷，迷迷相指尽无为（一作画无无）。个般诡怪颠狂辈，坐中摇动颤多时。屈伸偃仰千万状，啼哭叫唤如儿嬉。盖绿方寸无主人，气⑥虚气散神狂飞。一队妄想争唱⑦鬨，以此诳俗诱愚痴。不知与道合其真，与鬼合邪徒妄为。一才心动气随动，跳跃颤掉运神机。或曰此是阳气来，或曰龙虎争战时。或曰河车千万迎⑧，或曰水火相奔驰。看看摇摆五脏气，一旦脑泻精神羸。当初神祖留丹诀，无中生有作丹基。何曾有此鬼怪状，尽是下士徒阐提。我闻前代诸圣师，无为之中无不为。尽于无相生实相，不假想化并行持。则有些儿奇又奇，心肾元来非坎离。肝心脾肺肾肠胆，只是空屋旧藩篱。涕唾津精气血液，只可接助为阶梯。精神魂魄心意气，观之自是而实非。何须内观及鉴形，或听灵响视泓池。吞霞饮露服元气，功效不验心神疲。演说清虚弄炉火，索人投状赍金宝。敢将蛙井⑨藐沧溟，元始天尊即是我。虚收衔号伪神通，指划鬼神说因果。今朝明朝又奏名，内丹外丹无不可。欺贤罔圣昧三光，自视祸福皆懡㦬。招邀徒弟走市廛，醉酒饱德⑩成群夥。大道从来绝名相，真仙本自无花草。教他戒誓立辛勤，争如汝自辛勤好。一人迷昧犹自可，迷以传迷迷至老。此辈一盲引众盲，共入迷途真忧恼。忽朝福尽罪报来，获罪于天无所祷。三元九府录其愆，迫魂系魄受冥考。举世人人喜学仙，几人日日去参玄。各自妄诞自相高，不务真实为真诠。古人好语须切记，工夫纯熟语通仙。言语不通非眷属，工夫不到不方圆。我昔工夫行一年，六脉已息气归根。有一婴儿在丹田，与我形貌亦如然。翻思尘世⑾学道者，三年九载空迁延。依前云水游四海，冷眼看有谁堪传。炷香问道仍下风，勘辨邪正知愚贤。归来作此翠虚吟，犹如杲日丽青天。扫除末学小伎术，分别火候鍊药物。只取一味水中金，收拾虚无造化窟。促将百脉尽归源，脉任⑿气停丹始结。初时枯水依寒岩，二兽相逢如电掣。中央正位产玄珠，浪静风平云雨歇。半时之间见丹头，软似绵团硬似铁。此时南方赤凤血，采之须要知时节。一般才得万般全，复命归根真孔穴。内中自有真壶天，风物光明月皎洁。龙吟虎啸铅汞交，灼见黄芽芽⒀白雪。每常天地交合时，夺取阴阳造化机。卯酉甲庚须沐浴，弦望晦朔要防危。随日随时则斤两，抽添运用在怡怡。十二时中只一时，九还七返这些儿。温养功须常固济，巽风常向坎中吹。行坐寝食总如之，性⒁恐火冷丹力迟。一年周天除卯酉，九转工夫月用九。至于十月玉霜飞，圣胎圆就风雷吼。一载胎生一个儿，子生孙了又孙枝。千百亿化最妙处，岂可容易教人知。忘形死心绝尔汝，存亡动静分宝主。朝昏药物有浮沉，水火爻符宜检举。真气薰蒸无寒暑，纯阳流溢无生死。有一子母分胎路，妙在尾箕斗牛女。若欲延年救老残，断除淫欲行旁门。果将流形永住世，除非运火鍊神丹。神丹之功三百日，七解七蜕成大还。聚则成形散成气，天上人间总一般。宁可求师安乐法，不可邪淫采精血。古云天地悉皆归，须学无为清净诀。缚住青山万顷云，捞取碧潭一轮月。玄关一窍无人知，此是刀圭甚奇绝。夜来撞见吕秀才，有一丹诀犹奇哉。却把太虚为炉鼎，活捉乌兔为药材。山河大地发猛火，于中万象生云雷。昔日混沌今品物，一时交结成圣胎。也无金木相间隔，也无龙虎分南北。不问子母及雌雄，不问夫妻及黑白。何人名曰大还丹，太上老君吞不得。老君留与清闲客，服了飞仙登太极。更将一盏鸿濛酒，饵此刀圭壮颜色。任从沧海变桑田，我道壶中未一年。悬知汝心如铁坚，所以口口密相传。妙处都无半句子，神仙法度真自然。速须下手结胎仙，朗吟归去蓬莱天。
水调歌头 赠九霞子鞠九思（宋·陈楠）	夺取天机妙，夜半看辰杓。一些珠露，阿谁运倒稻花头。便向此时采取，宛如碧莲合蕊，滴破玉池秋。万籁风初起，明月一沙鸥。紫河车，乘赤凤，入琼楼。谓之玉汞，与铅与土正相投。五气三花聚顶，吹著自然真火，炼得似红榴。十月胎仙出，雷电送金虬。
鹊桥仙 赠蛰虚子沙道昭（宋·陈楠）	红莲含蕊，露珠凝碧，飞落华池滴滴。运归金鼎唤丁公，炼得似、一枚朱橘。三花喷火，五云拥月，上有金胎神室。洞房云雨正春风，十个月、胎仙了毕。
真珠帘 赠海南子白玉蟾（宋·陈楠）	金丹大药人人有。要须是、心传口授。一片白龙肝，一盏醍醐酒。只为离无寻坎有。移却南宸回北斗。好笑。见金翁姹女，两个厮斗。些儿铅汞调匀，观汉月海潮，抽添火候。一箭透三关，方表神仙手。兔子方来乌处住，龟儿便把蛇吞了。知否。那两个钟吕，是吾师友。
望江南/忆江南（宋·陈楠）	毛发薄，三转运行阳。胎色渐红阴渐缩，推移岁运助阳刚。育火养中央。成物象，五转辨微茫。出入尚迟形上小，晨昏时饮玉壶浆。天籁奏笙簧。
尸解颂（宋·陈楠）　　押冬韵	顶上雷声霹雳，混沌落地无踪。今朝得路便行，骑个无角火龙①。
