悼天童晦岩和尚（宋·释普度）　　七言绝句　押真韵	恩怨重重分未分，再来不见旧时人。娟娟宿鹭亭前月，忍照西风吹白蘋。
送文上人游台荡（宋·释普度）　　七言绝句　押尤韵	文彩全彰拄杖头，吴山楚水兴悠悠。江声一夜催行色，踏断石桥方始休。
送森知客（宋·释普度）　　七言绝句	清远溪边劄寨时，春风簇簇露枪旗。谁知唤客吃茶处，万别千差一道归。
送高邮友上人（宋·释普度）　　七言绝句　押麻韵	死生事大方行脚，彻骨贫穷未到家。一百十城回首处，大淮南畔有高沙。
送云上人（宋·释普度）　　七言绝句　押先韵	楖𣗖杖头悬日月，草鞋跟底带山川。逢人问著吾家事，灵鹫峰前是冷泉。
送鉴上人（宋·释普度）　　七言绝句　押支韵	鉴在机先已是迟，电光石火亦难追。鹫峰点著便回去，终不重安眼上眉。
送达州先上人（宋·释普度）　　七言绝句　押先韵	吾道从来没正偏，就中达者便为先。花前一笑即回首，此去西川路八千。
付法衣与琼林侍者（宋·释普度）　　七言绝句　押庚韵	杨岐担子无轻重，上得肩时便著行。咬定牙关提正令，卷舒杀活任纵横。
示食三白通庵主（宋·释普度）　　七言绝句	舌端异味已全抛，松竹烟云作淡交。有口不吞三世佛，一天风月任萧骚。
送僧（宋·释普度）　　七言绝句	瘦坐清行合涧边，衲衣楚楚湿苍烟。春光尽逐杖黎去，留得暮山啼断猿。
送小师淳志游方（宋·释普度）　　七言绝句　押先韵	参禅不是小因缘，立志当如铁石坚。百城靠倒无依倚，回首归来吃痛拳。
示倪居士（宋·释普度）　　七言绝句　押真韵	一切尘中坚密身，尘尘顿现本来人。了知此外更无佛，野鸟山花别是春。
示马路钤（宋·释普度）　　七言绝句　押先韵	参禅乃是丈夫事，良马从来不用鞭。六窗尽启乾坤大，万里无云一片天。
送僧归天台（宋·释普度）　　七言绝句　押庚韵	龙门浪里翻身出，凛凛风生气宇清。归到石桥君自看，杖头犹带怒涛声。
送楷维那（宋·释普度）　　七言绝句　押尤韵	辊底怒涛千丈雪，转空明月一天秋。赠行莫道□□窖，历历君家拄杖头。
送净头道者（宋·释普度）　　七言绝句　押灰韵	粪埽堆头拾得来，花前不觉笑颜开。灵山写作送行句，留与丛林作祸胎。
送小师淳真参雪窦（宋·释普度）　　七言绝句　押微韵	千丈岩垂云万叠，老龙高卧见还稀。子今决志攀鳞角，莫顾岩前雪浪飞。
送怡斋周居士兼简汤东涧（宋·释普度）　　七言绝句　押灰韵	我羡怡斋去又来，涧边无一点尘埃。高风凛凛照今古，有口不谈声似雷。
送见上人归剑州（宋·释普度）　　七言绝句　押真韵	见处分明得处亲，直于剑刃上翻身。连云栈阁重回首，已是昔人非昔人。
送僧之雪峰（宋·释普度）　　七言绝句	南山鳖鼻死多时，何苦崎岖要觅伊。无底篮儿收拾得，不妨挑取杖头归。
