禅会图黄檗掌沙弥（宋·释了惠）　　五言绝句　押寒韵	膝下黄金贵，掌中天地宽。风云欣际会，四海夜涛寒。
赵州接赵王（宋·释了惠）　　五言绝句　押江韵	跏趺迎上客，曲录对旌幢。不是家风别，他居礼乐邦。
国一见代宗来起立（宋·释了惠）　　五言绝句　押尤韵	立在威仪外，全身在里头。重重赐龙袖，难掩面门羞。
中原之宝（宋·释了惠）　　五言绝句　押元韵	至宝应难别，波斯双眼昏。何如放下手，留取镇中原。
文宗嗜蛤蜊（宋·释了惠）　　五言绝句　押侵韵	螺师蚌蛤类，大唐天子心。嗜好即深信，南无观世音。
李习之见药山（宋·释了惠）　　五言绝句　押庚韵	即今非见面，昔日不闻名。一句添三句，篇章凑不成。
韩文公见大颠（宋·释了惠）　　五言绝句　押寒韵	事繁求省要，省要事频繁。纵得三平老，文公只姓韩。
庞居士见马祖（宋·释了惠）　　五言绝句　押真韵	孰是心空者，谁为选佛人。笊篱二尺柄，簸箕三寸唇。
丹霞见灵照（宋·释了惠）　　五言绝句　押支韵	当风鸦臭气，一个豆娘儿。熏得行人走，冲爷皱断眉。
捧佛安名（宋·释了惠）　　五言绝句　押寒韵	名正字亦正，形端影亦端。呼来并诺去，驴屎杂栴檀。
说无生话（宋·释了惠）　　五言绝句　押东韵	家有全棚乐，新翻调不同。分明恨离别，却是喜相逢。
女子看日（宋·释了惠）　　五言绝句　押尤韵	劣女还闺閤，痴爷看日头。几生亲骨肉，不共戴天雠。
庞大倚锄而化（宋·释了惠）　　五言绝句　押萧韵	辨地要从苗，枝残叶后凋。春风收契券，锄柄亦抽条。
雪庭（宋·释了惠）　　五言绝句　押庚韵	玉砌晓光寒，家风个样生。须知平白处，著脚是深坑。
一翁（宋·释了惠）　　五言绝句　押虞韵	朕兆未分初，都卢只老夫。包羲太多事，胡处又添须。
石室（宋·释了惠）　　五言绝句　押寒韵	锤凿不到处，纵横丈许宽。宁教苔藓去，要下一筹难。
海眼光赞（宋·释了惠）　　五言绝句　押尤韵	海眼为香饵，悲心作钓钩。鱼龙知几许，贪者自抬头。
丰干闾丘虎赞（宋·释了惠）　　五言绝句　押支韵	虎怕人心恶，人欺虎太慈。虽逢贤太守，难打者官司。
政黄牛赞（宋·释了惠）　　五言绝句　押萧韵	屈膝跨牛腰，山遥水更遥。有诗吟未就，白鹭下溪桥。
五祖栽松六祖担柴赞 其一（宋·释了惠）　　五言绝句　押歌韵	恨杀老头陀，山移恨不磨。吾今担头重，为汝种松多。
