寒山赞（宋·释普济）　　五言绝句	采樵沿岭去，提水傍溪归。个般无出豁，七佛不曾师。
山翁（宋·释普济）　　五言绝句　押尤韵	重叠春风面，高低雪满头。渠无生老相，孤峻罕人游。
出山相赞（宋·释普济）　　七言绝句	龙章凤质出王宫，肘露衣穿下雪峰。智愿必空诸有界，不知诸有几时空。
善财赞（宋·释普济）　　七言绝句　押阳韵	福城东际错商量，误入烟萝白鸟乡。水远山长无限意，到头难写此愁肠。
懒瓒赞（宋·释普济）　　七言绝句　押阳韵	垂颐寒涕满头霜，黄独煨来别有香。三诏入云三不起，儿孙各自立封疆。
夹山见船子赞（宋·释普济）　　七言绝句　押真韵	毒手一桡难躲避，点头不见问津人。烟波浩渺无穷恨，父子虽亲未是亲。
马祖接石巩赞（宋·释普济）　　七言绝句	三十年不少盐酱，一镞群狐中的时。大地山河诸草木，至今尽发箭锋机。
鸟窠赞（宋·释普济）　　七言绝句	道高德高名愈高，问佛法而吹布毛。不是寻常闲啐啄，飞出凤儿空鹊巢。
四睡赞（宋·释普济）　　七言绝句　押灰韵	离了峨嵋别五台，倒骑白额下天台。松间石上梦中梦，唤得闾丘太守回。
觉如周居士圆相赞（宋·释普济）　　七言绝句	一片虚凝绝谓情，眼横鼻直强图形。不如不觉全声色，骂得毗耶老净名。
弥勒大士二月八生（宋·释普济）　　七言绝句　押真韵	契此老翁无记性，都忘生月与生辰。春风桃李能多事，特地年年说向人。
化炭（宋·释普济）　　七言绝句	皮肤脱尽黑粼皴，犹有当时刀斧痕。待入门来重点化，教伊随处衮烟尘。
雪庭（宋·释普济）　　七言绝句　押侵韵	一度寒来不可禁，森罗万象尽平沉。个般门户谁能入，著脚分明三尺深。
蜘蛛（宋·释普济）　　七言绝句　押庚韵	一丝挂得虚空住，百亿丝头杀气生。上下四维罗织了，一无漏网话方行。
示觉悟侍者（宋·释普济）　　七言绝句　押删韵	起家难似破家难，荡尽田园出故关。佛祖二千年冷债，不消咳嗽一时还。
水茶磨（宋·释普济）　　七言绝句　押删韵	机轮转处水潺潺，机若停时水自闲。末上一遭知落处，十分春色满人间。
浮香阁（宋·释普济）　　七言绝句　押灰韵	江城夜雨满楼台，池上残红拨不开。慈氏家风都漏泄，善财南去未回来。
送清凉淮海和尚住万年（宋·释普济）　　七言绝句　押青韵	潮声忽转石头城，大舍峰高侧耳听。五百个僧都不会，教他一一侍巾瓶。
送梦窗和尚住净慈（宋·释普济）　　七言绝句	志公有语问思大，东涧无言记梦窗。今日梦窗下山去，笑他思大舌头长。
送广州泰长老（宋·释普济）　　七言绝句　押支韵	老卢曾见老黄梅，一首长廊落韵诗。既是同坑无异土，家私莫与路人知。
