自诒（宋·释祖先）　　五言绝句　押东韵	宴坐白云里，经行碧嶂中。游人穷不到，幽鸟自匆匆①。
定光赞（宋·释祖先）　　七言绝句　押寒韵	天涯海角俱行遍，鬼面神头只自谩。却忆当年旧风月，杖头挑出与人看。
寄蒋山如一翁（宋·释祖先）　　七言绝句　押删韵	悠悠世路绝跻攀，卧看白云空往还。惟有同参一句子，肯将容易混尘寰。
寄王承务（宋·释祖先）　　七言绝句　押尤韵	经年相别无他嘱，莫只波波意里求。病去药除消息尽，红尘堆里等閒游。
送虎丘首座住庵（宋·释祖先）　　七言绝句　押尤韵	剑池拾得丰城剑，凛凛寒光射斗牛。为报不平平底事，草庵蓬户也风流。
示楞严座王（宋·释祖先）　　七言绝句	见犹离见非真见，还尽八还无可还。木落霜天山骨露，不知谁识老瞿昙。
示南华行者（宋·释祖先）　　七言绝句　押冬韵	黄梅会里七千指，虎骤龙驰空点胸。碓蹯老卢愚且拙，坤维占断最高峰。
达磨赞（宋·释祖先）	梁皇殿前不能把定，少林山下风波愈盛。若解谨初护末，不到图形画影。
戢庵居士请赞济颠（宋·释祖先）	瞎堂之子，附马之后。出处行藏，一向漏逗。是圣是凡莫测，掣颠掣狂希有。一拳拳碎虚空，惊得须弥倒走。
周正字请赞亡母宜人王氏真（宋·释祖先）	画得十分，依前不是。端坐北堂，琅琅仁义。文殊罔明把手行，入定出定恣游戏。
示禅人写华严经（宋·释祖先）　　押阳韵	毗卢大经卷，尘识久埋藏。上人笔端力，掇出放毫光。笑他自城游历，自倒自起自忙。江天月晓，梦破斜阳。一印印定，无法商量。
临济赞（宋·释祖先）　　押个韵	揎拳捋肘，只有一个。电卷星飞，抬头蹉过。
偈颂四十二首（宋·释祖先）　　押真韵	扶持临济正法眼，出手还它勇毅人。利物应机全体用，丛林又见一番新①。
临终偈（宋·释祖先）	末后一句，已成忉怛。写出人前，千错万错①。
颂古三首（宋·释祖先）　　押侵韵	应无所住以生心，大地山河一发沉。从此别开穷世界，新州柴把贵如金①。
六祖赞（宋·释祖先）	飏下采樵斧，直入堆坊舂。一脚踏到底，黄梅信息通。
布袋赞（宋·释祖先）	散诞不拘仪轨，街头走到街尾。逢人大笑呵呵，那个知渠肚里。
戢庵居士持寿像求赞（宋·释祖先）　　押真韵	似僧有发，似俗无尘。淡默自处，惟德与邻。曾向凤池亲圣训，更来鹿苑夺芳春。
性长老写师真请赞（宋·释祖先）	顽无所知，说无照对。弄假像真，遭人笑怪。花擘临济黄檗，佛法未梦见在。在在在，是处清风动天籁。
本禅人请赞（宋·释祖先）　　押麌韵	学道不根，参禅莽卤。似恁趣向乖疏，如何传灯继祖。本禅画出人前，转见和泥合土。就中更有些子誵讹，焦尾大虫元来是虎。
