资州 其二（宋·宋京）　　七言绝句　押删韵	箫鼓旌旗簇锦鞯，路人遥指翠微闲。使君乘兴同民乐，猿鹤无心不碍闲①。
留题周文王庙（宋·宋京）　　七言绝句　押阳韵	征西将帅念君王，刻石巴山事渺茫。□①载衣冠付冥寞，路人无语奠椒浆。
登尚清阁二首（宣和三年）（宋·宋京）　　七言绝句　押删韵	望断秦原日月宽，西来泾渭侧依山。凭谁唤取王摩诘，写到孤鸿灭没间。
京请郡得豳取道渭上观为命□诗刻次韵奉呈□□奉议公（宣和三年）（宋·宋京）　　七言绝句　押先韵	金节逶迤去不还，罗胸星斗焕秦天。白云拱木今何在，岁月声名相与延。
资州 其一（宋·宋京）　　押真韵	江山不负人，入眼四时新。古寺岩为屋，危峰竹是邻。从来潇洒地，今日自由身。
武担（宋·宋京）	君不见蜀王妃子墓突兀，成都城中若山积。墓头寒镜涩无光，妒月欺烟化为石。鸿荒无根凭野史，直谓山妖化妃子。临终未免怀首丘，运土山中葬于此。山名武担锦江边，用是得名千万年。如今佛阁倚空翠，老木盘郁摩苍天。晴云入穴西山出，捲帘坐见岚光滴。拨得文如汲冢书，免使后人疑往昔。
龟化（宋·宋京）	君不见秦时张仪筑少城，土恶易败还颠倾。力疲智竭筑未就，神龟为尔开其灵。龟行所至城不圮，板筑之功以此已。功成隐去智且贤，城下于今祗流水。殷勤高谢余且网，不梦元君宁自放。仪兮仪兮奈尔何，口舌纵横饰欺妄。天使神龟笼尔术，不言而行功自毕。安得人灵若尔灵，照见百为心遐逸①。
礼殿（宋·宋京）	君不见汉人制作礼殿存，法度严广分卑尊。祇今年数不可考，列画古帝丹青昏。晋人遗书刻柱边，字划刓决骨气全。衣冠真不异阙里，事业直笑铭燕然。锵锵似有环佩声，七十二子罗簪缨。闭藏浊世如有待，开眼今日观文明。陈仓石鼓归辟雍，大成门阀何穹崇。安得貌取礼殿制，太学西有宣尼宫。
石室（宋·宋京）	君不见西汉文翁为蜀守，蜀学不居齐鲁后。诸生竞欲保翁名，石室镌磨贵难朽。东汉高公又几时，为作石室还如兹。至今二室坚且久，文公高公名不衰。世间可传唯铁石，石终可泐铁终蚀。古人好事留其名，石室存亡竟何益。汉水沉碑知在不，叔子名存空岘首。安得眼看石室销，要知二子名终有①。
玉局（宋·宋京）　　押先韵	君不见青阳老人飞下天，口宣至道朝群仙。地中神人捧玉局，异事秘怪于今传。龟城坤隅地有穴，俗说西与岷山连。嵯峨古观森伟像，老柏惨澹含风烟。令威已去城郭在，人物自改名依然。亳州宫庭焕星斗，真皇行幸祥符年。所托得地近京邑，此独隐晦遐方偏。安得老人洗此心，还我澹泊同古先。
严真（宋·宋京）	君不得（当作见）庄遵卖卜成都市，市中仙隐无人值。百钱度日复何求，犹有沉真见文字。不因问着牛女星，下士安能知姓名。云中鸡犬拔家去，旧宅寂寞秋芜平。榰机石在年年长，药鼎空留闭黄壤。前时发掘篆籀新，明水神丹光滉瀁。金雁桥边台观存，神仙遗事渺难论。安从师先生为我卜，俗骨庶可遗天阍。
琴台（宋·宋京）	君不见成都郭西有琴台，长卿遗迹埋黄埃。千年乃为狐兔窟，化作佛庙空崔嵬。黄须老人犹记得，昔时荒破樵苏入。锄犁畏浅牛脚匀，古瓮耕开数逾十。乃知昔人用意深，瓮下取声元为琴。人琴不见瓮已掘，唯有鸟雀来悲吟。一朝风流随手尽，况复千年何所讯。安得雄辞吊汝魂，寂寞秋芜耿寒燐。
墨池（宋·宋京）	君不见子云草玄西郭门，一径秋草间朝昏。何须笔冢高百尺，池墨黯黯今犹存。童乌侯巴竟零落，玄学无人终寂寞。汉家执戟知几年，垂老身没天禄阁。俗儿纷纷重刘向，思苦言艰动嘲谤。汉已中天雄亦亡，不较空文从覆酱。如今却作给孤园，吐凤亭前池水寒。安得斯人尚可作，会有奇字令君看。
书台（宋·宋京）	君不见孔明书台遗庙旁，古书不见台荒凉。卧龙未起蜀天远，茅庐日日空南阳。赤符光寒白水涸，秣陵王气犹能作。璋若婴儿操虎狼，脱去荆州殊不恶。十倍奇才安用书，此台昔时知有无。蜀人思君识古处，未若江水存兵图。黄冠所居门第改，祇有坊名今尚在。安得台边见古人，秋草重生类书带。
草堂（宋·宋京）	君不见少陵草堂背西郭，浣花溪水流堂脚。竹寒沙白自凄凉，莫问四松霜草薄。入门好在乌皮几，公去不归换邻里。西岭千秋雪书消，舍北泥融飞燕子。祇今桤木平桥路，笼竹和烟杂江雾。野僧作屋号草堂，不是柴门旧时处。诗坛今古谁能将，艳艳文章光万丈。安得英才擅品量，当使公居摩诘上①。
大观庚寅冬游资州北岩（宋·宋京）	资州①城郭云山里，北岩正在云山底。翠壁嵌空抱日明，飞阁横斜矗天起。游人祇解爱城郭，不知山底幽人乐。六月全无暑气生，三冬亦有林花落。苍楠卧月影如轮，乳泉溅瀑波生鳞。利名付与百忙者，早晚自由无事身。红莲幕下青城客，五斗留人归未得。衙回不用展山图，直到岩边看秋色②。
句（宋·宋京）　　押东韵	云生毡帽山头雨，日落琵琶峡口风（资州）。
