秀轩（宋·米友仁）　　五言绝句	山气与湖光，四时足殊秀。我识轩中人，是为益三友①。
诗一首（宋·米友仁）　　五言绝句　押文韵	山气最佳处，卷舒晴晦云。心潜帝乡者，愿作乘彼君①。
诗一首（宋·米友仁）　　五言绝句　押马韵	密密万山重，一派哀湍泻。此志入瑶琴，当有知音者①。
题定武本（清卞永誉《式古堂书画汇考》卷五作米芾诗）兰亭（宋·米友仁）　　七言绝句　押侵韵	翰墨风流冠古今，鹅池谁不赏山阴。此书虽向昭陵朽，刻石犹能易②万金①。
题大姚山图三首（宋·米友仁）　　七言绝句　押歌韵	广文当日官虽冷，可奈才名振世何。他日君家须①炙手，而今聊复雀②堪罗。
为蒋仲友题画（宋·米友仁）　　七言绝句	乱山深处是烟霞，雨暗晴晖日夕佳。至识先生曾到此，故留戏笔在君家①。
自题山水（宋·米友仁）　　七言绝句　押删韵	霄壤千千万万山，东南胜地熟跻攀。古人作语咏不得，我寓无声缣楮间①。
题自画横披与翟伯寿（宋·米友仁）　　七言绝句　押文韵	山中宰相有仙骨，独爱岭头生白云。壁张此画定惊倒，先请唤人扶著君①。
题禊帖诗（宋·米友仁）	图契朴雕推圣智，万古奔沈馀末伎。兰亭醉墨更无加，始信功名皆傥尔。庾翼儿郎岂不黠，自是家鸡惭野雉。退之彊聒六艺疏，见处才能到姿媚。相公有官那得取，不与官家深自秘。却因同好露心胸，谩使萧翼誇末计。摸金不必曹阿瞒，温韬家有昭陵器。披沙只恐取黄金，剔轴谁能收故纸。天章宝塔高嵯峨，永表文皇好文艺。至今油蜡传未休，善本何辞万金弃①。
题董源夏山图（宋·米友仁）	崇山过新雨，苍翠浓欲滴。林深不通人，溪回有吟客。日落古道空，天青暮云碧。何处一声蝉，幽栖仍自得。
临江仙（宋·米友仁）	昨夜扁舟沙外舣，淮山微雨初晴。断云飞过月还明。一天风露重，人在玉壶清。水际不知何许是，遥林□辨微青。醉迷归梦强□凌。谁言东去雁，解寄此时情。
小重山（宋·米友仁）	醉倚朱阑一解衣。碧云迷望眼，断虹低。近来休说带宽围。人千里，还是燕双飞。深院日初迟。绮窗帘幕静，恨生眉。不堪虚度是花时。鸿来速，争解寄相思。
减字木兰花（宋·米友仁）	柳塘微雨。两两飞鸥来复去。倚遍重阑。人在碧云山外山。一春离怨。日照绮窗长几线。酒病情魔。两事春来无奈何。
点绛唇（宋·米友仁）	浩渺湖天，酒浮黄菊携佳侣。澹烟疏雨。去鲁方怀土。倾盖相逢，引满哦奇语。山围处。兕觥频举。不醉君无去。
渔家傲（宋·米友仁）	从古荆溪名胜地。溪光万顷琉璃翠。极望荷花三十里。香喷鼻。我舟日在花间舣。向晚馀霞收散绮。遥山抹黛天如水。满引一尊明月里。微风起。萧然真在华胥氏。
阮郎归（宋·米友仁）	小舟载酒向平湖。新凉生晓初。乱山烟外有还无。王维真画图。风遽起，动襟裾。雨来荷溅珠。一尊相对喜君俱。醉归红袖扶。
临江仙（宋·米友仁）	一曲阳关肠断处，临风惨对离尊。红妆揭调十分斟。古来多聚散，正似岭头云。昨夜晴霄千里月，向人无限多情。娟娟今夜满虚庭。一帆随浪去，却照画船轻。
宴桃源/如梦令（宋·米友仁）	蝶梦初回栩栩。柳岸几声莺语。苹末起微风，山外一川烟雨。凝顾。凝顾。人在玉壶深处。
南歌子（宋·米友仁）	遇酒词先举，逢山眼暂明。一川风雨纵留人。不道此郎归兴、欲兼程。客久情深□，寻欢恨不能。绳床顿睡梦纵横。赖□□□□□、□□□。
渔家傲 和晏元献韵（宋·米友仁）	郊外春和宜散步。百花枝上初凝露。福地神仙多外府。藏奇趣。幽寻历遍溪边路。薄宦浮家无定处。萍飘梗泛前人语。与子未须乡国去。来同住。且看群岫烟中雨。
