金陵览古 秦淮（宋·朱存）　　七言绝句　押尤韵	一气东南王斗牛，祖龙潜为子孙忧。金陵地脉何曾断，不觉真人已姓刘。
金陵览古 石头城（宋·朱存）　　七言绝句　押阳韵	五城楼雉各相望，山水英灵宅帝王。此地定由天造险，古来长恃作金汤。
金陵览古 段石冈（宋·朱存）　　七言绝句　押支韵	孙吴纪德旧刊碑，草没蟠螭与伏龟。惆怅冈头三段石，至今犹似鼎分时。
金陵览古 北渠（宋·朱存）　　七言绝句　押尤韵	金殿分来玉砌流，黑龙湖彻凤池头。后庭花落恩波断，翻与南唐作御沟。
金陵览古 新亭（宋·朱存）　　七言绝句　押阳韵	满目江山异洛阳，昔人何必重悲伤。倘能戮力扶王室，当自新亭复故乡。
金陵览古 天阙山（宋·朱存）　　七言绝句　押覃韵	牛头天际碧凝岚，王导无稽亦妄谈。若指远山为上阙，长安应合指终南。
金陵览古 东山（宋·朱存）　　七言绝句　押灰韵	镇物高情济世才，欲随猿鹤老岩隈。山花处处红妆面，髣髴如初拥妓来。
金陵览古 乌衣巷（宋·朱存）　　七言绝句　押微韵	人物风流往往非，空馀陋巷作乌衣。旧时帘幕无从觅，只有年年社燕归。
金陵览古 阿育王塔（宋·朱存）　　七言绝句　押东韵	窣堵凝然镇梵宫，举头层级在云中。金棺舍利藏何处，铎绕危檐声撼风①。
金陵览古 乌衣巷（宋·朱存）　　七言绝句　押微韵	阀阅沦亡梐枑移，年年旧燕亦双归。茅檐苇箔无冠盖，不见乌衣见白衣①。
金陵览古 后湖（宋·朱存）　　七言绝句　押支韵	雷轰叠鼓火翻旗，三翼翩翩试水师。惊起黑龙眠不得，狂风猛雨下多时。
金陵览古 半阳湖（宋·朱存）　　七言绝句　押阳韵	江南龙节水为乡，水不纯阴又半阳。一片湖光共深浅，两般泉脉异温凉①。
金陵览古 潮沟（宋·朱存）　　七言绝句　押灰韵	流水东西傍帝台，六朝重为两朝开。曾有鹢首知高下，莫问鱼舟识去来。
金陵览古 直渎（宋·朱存）　　七言绝句　押东韵	昼役人功夜鬼功，阳开阴阖几时终。不闻掷土江中语，争得盈流一水通。
金陵览古 运渎（宋·朱存）　　七言绝句　押鱼韵	舳舻衔尾日无虚，更凿都城引漕渠。何事馁来贪雀谷，不知留得几年储①。
金陵览古 凤凰台（宋·朱存）　　七言绝句　押删韵	竹影桐阴满旧山，凤凰多载不飞还。登台只有吹箫者，争得和鸣堕世间①。
