化城寺（宋·陈岩）　　七言绝句　押庚韵	匝径茸茸菜甲青，透池艳艳藕花明。四方衲子寻幽践，多少空山振锡声。
化城池（宋·陈岩）　　七言绝句　押灰韵	簇簇青莲满意开，老僧誇说旧栽培。尘埃不涅花心性，净客原从净土来。
半霄亭（宋·陈岩）　　七言绝句　押虞韵	烟际晴岚似有无，举头相望是云衢。若为透入云间路，直渡银河采白榆。
望江亭（宋·陈岩）　　七言绝句　押支韵	衮衮长江浸落晖，水流不尽觉云移。登高忽动离骚恨，无奈山川苦要诗。
地藏塔（宋·陈岩）　　七言绝句　押文韵	八十四级山头石，五百馀年地藏坟。风撼塔铃天半语，众人都向梦中闻。
笑指亭（宋·陈岩）　　七言绝句　押先韵	多少人间狭路偏，山川还是旧山川。淡然忘笑兼忘指，嘿嘿真成第一禅。
李白书堂（宋·陈岩）　　七言绝句　押阳韵	兰芷春风满地香，谪仙曾卧白云乡。山间精爽今犹在，落月时时见屋梁。
神光岭（宋·陈岩）　　七言绝句　押麻韵	眼看恒河几劫沙，随身锁子骨钩加。岭头闪闪神光动，无尽灯中转法华。
南台（宋·陈岩）　　七言绝句　押蒸韵	旧日新罗国里僧，山间散满百千灯。只将一嘿消诸妄，坐透禅机最上乘。
晏坐岩（宋·陈岩）　　七言绝句　押支韵	掠地霜风黄叶飞，山人晏坐已多时。但知六凿俱通透，不省支床旧有龟。
白蟮穴（宋·陈岩）　　七言绝句　押寒韵	炊沙自昔终难饱，坎土于今乃可餐。翻笑青泥变青石，嵇康无分啜仙丹。
龙女泉（宋·陈岩）　　七言绝句　押先韵	祖师正渴山头水，龙女俄分海眼泉。万事不离无始劫，千年剩结未来缘。
茗地源（宋·陈岩）　　七言绝句　押庚韵	暖风吹长紫芽茎，人向山头就水烹。陆羽傥曾经此地，谷帘安得擅佳名。
东藏源（宋·陈岩）　　七言绝句　押真韵	腻雨增多树色深，惠风吹转药苗新。一湾水绕旃檀国，流向山前普济人。
中峰（宋·陈岩）　　七言绝句　押东韵	岪郁盘纡直拄空，众峰环绕独居中。山头要看僧禅定，南北东西路各通。
会仙峰（宋·陈岩）　　七言绝句　押先韵	仙袂飘飘拂翠巅，知微来此宴群仙。人间风雨山间月，始信仙家别有天。
大还岭（宋·陈岩）　　七言绝句　押微韵	龟肠刳尽不缘饥，鹤骨生来岂解肥。炼得丹成生羽翼，山中无复赵知微。
斧柯岭（宋·陈岩）　　七言绝句　押歌韵	偶尔观棋忽烂柯，岂知胜负是如何。归来笑问人间事，恰是人间胜负多。
甘露泉（宋·陈岩）　　七言绝句　押阳韵	山接灵河两派长，松间石上泻天浆。几思吸取清泠味，洗我一生烟火肠。
澌澌水（宋·陈岩）　　七言绝句　押微韵	危柱抨抨曳素丝，水声还解发天机。风来未定风还住，恍讶山中鼓瑟希。
