达磨赞（宋·释师体）　　七言绝句　押麻韵	万福西来老骨挝，不遵行止渡流沙。被人打落当门齿，哑子依前吃苦瓜。
船子赞（宋·释师体）　　七言绝句	孤踪短艇寓江滨，眼盖乾坤彻骨贫。接了夹山钻入水，至今恩怨不曾分。
颂古十四首（宋·释师体）　　押灰韵	妙峰孤顶无知识，百十城游丧善财。楼阁若还弹指见，分明有眼不曾开。
四圣赞（宋·释师体）	稽首释迦，现千百亿。盐贵米贱，苦趁乐吃。瞋喜爱憎，是非声色。日炙风吹，一文不直。
偈颂十八首（宋·释师体）　　押东韵	五蕴出头一段空，同门出入不相逢。无量劫来赁屋住，到头不识主人公①。
颂古十四首 其六（宋·释师体）　　押麻韵	早朝心闷三杯酒，午后头昏一椀茶。入夜脱衣伸脚睡，五更走起眼眯𥊚。
总颂（宋·释师体）	释迦观音，文珠普贤。蓦鼻牵来，作一串穿。横拖倒拽，痛报深冤。弥天罪过，一任流传①。
颂古十首（宋·释师体）	三清道士无仙骨，八教阇梨毁梵书。黑添昆崙舞华鼓，天亲无著暗嗟吁。
偈四首（宋·释师体）　　押萧韵	年年浴佛在今朝，目击迦维路不遥。果是当时曾示现，宜乎恶水蓦头浇。
辞众偈（宋·释师体）　　押旱韵	铁树开花，雄鸡生卵。七十二年，摇篮绳断①。
颂古二十九首（宋·释师体）　　押真韵	走出门风相副称，东西南北更无人。看来不得韶阳老，未免儿孙惹客尘。
卧莲玩月观音赞（宋·释师体）　　押寒韵	上绝把茆江月白，下无寸土眼头宽。青莲影里安身法，普与劳生了正观。
自赞（宋·释师体）　　押真韵	岁寒节操，水月精神。随所住处，无过任真。咦，今古江山今古意，一番雨过一番新。
