上伯井亭（宋·释师观）　　五言绝句　押寘韵	曹源一滴水，散作人间瑞。茫茫宇宙中，几个知惭愧。
化佛五脏先被人偷了（宋·释师观）　　七言绝句　押支韵	古佛行藏识者稀，为人一著太孤危。蓦然撞著白拈贼，倒腹倾肠付与伊。
题中峰方丈（宋·释师观）　　七言绝句　押东韵	森森松竹耸中峰，八面玲珑眼界空。尽向石根寻马迹，谁人亲见道林翁。
木鱼（宋·释师观）　　七言绝句	敲空作响人皆听，听听之时非是声。海藏龙宫留不住，却来个里现全身。
祖芳求僧（宋·释师观）　　七言绝句　押蒸韵	要得联芳继祖灯，直须发愤效卢能。三更月下传衣钵，惊动黄梅七百僧。
干帘席（宋·释师观）　　七言绝句　押祃韵	捲起帘来见天下，千古丛林作话把。承天今日再堤撕，一段风光无缝罅。
辞李大谏再住万寿（宋·释师观）　　七言绝句　押删韵	年来老倒觉痴顽，振作丛林岂等闲。珍重贤侯休更问，且容懒散卧云间。
惺惺石（宋·释师观）　　七言绝句　押虞韵	惺惺石上坐频呼，绝后依前又再苏。自古自今无变异，直教觑著眼睛枯①。
三教赞（宋·释师观）	一即三，三即一，者一个，赞不及。天人群生类，皆承此恩力。
灵岩金钵堂化长明灯（宋·释师观）	龙潭吹灭纸烛，真个人天眼目。举似庞公点头，祖祖灯灯相续。
偈颂七十六首（宋·释师观）　　押元韵	佛语心为宗，无门为法门。个里全身入，别是一乾坤①。
颂古十七首（宋·释师观）　　押寘韵	指天指地，无处回避。瞿昙瞿昙，讨甚巴鼻。
和蒋御带荐閤中三偈（宋·释师观）　　押灰韵	威音那畔绝安排，个里何曾有去来。如是住而无所住，摩醯眼向顶门开。
童子求颂（宋·释师观）	山童山童，叉手当胸。高低普应，常在其中。
颂古三十三首（宋·释师观）　　押遇韵	月上女曾与么去，我今亦依如是住。明明今古不曾藏，一点灵光常独露。
颂古十七首 其一十七（宋·释师观）　　押寘韵	指天指地，无处回避。瞿云瞿昙，讨甚巴鼻。
须菩提赞（宋·释师观）　　押哿韵	老老大大，岩中宴坐。帝释雨花，见个什么。
千手眼观音赞（宋·释师观）	通身是，遍身是，观世音，无尽意。愿以此功德，普及于一切。
达磨祖师赞（宋·释师观）	手提金锡，银山铁壁。对朕者谁，还云不识。透过玄关，青天白日。
百丈和尚赞（宋·释师观）　　押东韵	独坐大雄峰，宗通说亦通。咄者老漆桶，不落有无中。
