大本经（当代·钟锦）　　七言绝句　押歌韵	痴增寿减众无多，说法如来鬓已皤。慧命不甘成断绝，转为七佛救娑婆。
游行经（当代·钟锦）　　七言绝句　押阳韵	七法能持国不亡，欲行私利又相妨。便将迂远嘲夫子，却为淫骄吊始皇。
典尊经（当代·钟锦）　　七言绝句　押庚韵	欲不离时臭秽并，欲惟断后梵天生。忍言此世当须舍？嗔恚贪痴总未平。
阇尼沙经（当代·钟锦）　　七言绝句　押歌韵	梵音正直亦清和，如尔繁弦急管何？只为人心平不得，雅声乱尽郑声多。
小缘经（当代·钟锦）　　七言绝句　押侵韵	骄慢还从种姓深，便于正法漫相寻。君逢穷巷躬行士，纵不折腰先折心。
转轮圣王修行经（当代·钟锦）　　七言绝句　押东韵	必使王施及下穷，不然盗贼转相攻。恒心但作士民别，礼节正须仓廪丰。
弊宿经（当代·钟锦）　　七言绝句　押东韵	断灭须忧泯至公，不应善恶也为空。若言他世更生事，只手茫茫證亦穷。
散陀那经（当代·钟锦）　　七言绝句　押虞韵	离服裸形诸法迂，浊言遮道众人愚。一从正意归狮子，才识苦行成犬儒。
众集经（当代·钟锦）　　七言绝句　押东韵	门徒二部漫相攻，谁与尼乾慨命终？座下耆年舍利子，为传众集到无穷。
十上经（当代·钟锦）　　七言绝句　押支韵	法法相生信不疑，十增十上岂云宜？不知理自纵横在，妙解冥参各有时。
增一经（当代·钟锦）　　七言绝句　押先韵	法数相开本是权，一增圣教竟流传。儒门亦有周书在，八政五行相次编。
三聚经（当代·钟锦）　　七言绝句　押虞韵	三聚从知各异趋，尚忧难识涅槃途。一增演道俱周备，悲愿慈怀认得无？
大缘方便经（当代·钟锦）　　七言绝句　押庚韵	定知贪爱即无明，杖讼不然何自生？名色互缘成苦荫，终教取有遍诸行。
释提桓因问经（当代·钟锦）　　七言绝句　押虞韵	清净音中众义俱，琉璃琴上一时娱。无端只恨般遮翼，不使相逢柏拉图。
阿㝹夷经（当代·钟锦）　　七言绝句　押尤韵	亦知神足信堪修，能尽无边苦际不？只恐愚人终暗昧，贪痴齐向此中求。
善生经（当代·钟锦）　　七言绝句　押阳韵	莫漫倾身礼六方，躬行只是在纲常。云何善报诸天外？当世身财亦不伤。
清净经（当代·钟锦）　　七言绝句　押灰韵	诤讼全由吊诡来，正邪颠倒莫相开。为防厌患戕真法，须把痴疑仔细推。
自欢喜经（当代·钟锦）　　七言绝句　押支韵	虽于诸佛莫能知，也识如来说法奇。总别相中高妙尽，为君勘破世间痴。
大会经（当代·钟锦）　　七言绝句　押齐韵	德位纷纷总不齐，世间争逐尽成迷。君如会得诸天集，始悟荣华品最低。
阿摩昼经（当代·钟锦）　　七言绝句　押东韵	息尽贪痴但反躬，不应妄自议神通。若非力士金刚杵，岂得顽愚服理穷？
