春日感怀（明·叶纨纨）　　七言绝句　押阳韵	罗袂消残旧日香，啼痕几度湿年芳。无情懒向东风立，有恨谁怜一梦长。
秋日偶题（明·叶纨纨）　　七言绝句　押麻韵	一番摇落一番嗟，咫尺天涯梦里家。莫道秋来不憔悴，满庭都是断肠花。
哭亡妹琼章（明·叶纨纨）　　七言绝句　押侵韵	病里俄惊报讣音，狂风号野正凄阴。归来哭向残妆处，冷月寒花泪滴深。
秋日睡起感悟（明·叶纨纨）	睡馀晚色上，四壁蛩声啾。凉月满庭白，寒灯一点愁。眇眇犹若梦，恍惚又谓起。醒梦若俱非，不知何所似。慨然长叹息，生死即如此。
送妹琼章于归（明·叶纨纨）	昼堂红烛影摇光，箫鼓声繁绕玳梁。频传帘外催妆急，无语相看各断肠。鸾台宝镜生离色，鸳带罗衣惜别长。香霭屏帷凝彩扇，风轻帘幕拂新妆。新妆不用铅华饰，梅雪繇来羞并色。倾国倾城自绝群，飞琼碧玉惊相识。相顾含情泪暗弹，可怜未识别离难。遥遥此夜离香阁，去去行装不忍看。欲作长歌一送君，未曾搦管泪纷纷。追思昔日同游处，惆怅于今各自分。昔日同游同笑语，依依朝夕无愁苦。春阁连几学弄书，秋床共被听风雨。更忆此时君最小，风流早已仙姿袅。雪句裁成出众中，新词欲和人还少。往事悠悠空自思，从今难再不胜悲。休题往日今难再，但愿无愆别后期。别后离多相见稀，人生不及雁行飞。杳杳离情随去棹，绵绵别恨欲牵衣。恋别牵衣不可留，张帆鼓吹溯中流。可怜此去应欢笑，莫为思家空自愁。
点绛唇 早春有感（明·叶纨纨）	小院黄昏，一庭淡月人声俏。梅花开了。春信知多少。又是一番，芳草天涯道。伤怀抱。年年憔悴，不似春归早。
点绛唇（明·叶纨纨）	往事堪伤，旧游绿遍池塘上。闲愁千丈。暗逐庭芜长。自古多情，偏惹多惆怅。添悽怆。寒宵淡月，一片凄凉况。
浣溪沙 春恨（明·叶纨纨）	窗外梅花落素英。隔帘啼鸟弄春晴。断肠芳草又青青。独倚画鸾愁日暮，半笼金鸭怯寒生。闲思心事暗伤情。
浣溪沙（明·叶纨纨）	几日轻寒懒上楼。重帘低控小银钩。东风深锁一窗幽。昼永半消春寂寂，梦残独语思悠悠。近来长自只知愁。
浣溪沙（明·叶纨纨）	风雨闲庭锁寂寥。又看春色一分消。翠屏斜倚思无聊。梦觉情踪无处问，闷来心绪最难描。殢人残病恨今朝。
浣溪沙（明·叶纨纨）	清昼沉沉掩碧纱。困慵梳洗髻松鸦。蕙炉间袅篆烟斜。剪剪轻寒生绣户，霏霏细雨著庭花。一窗新梦晚风赊。
浣溪沙（明·叶纨纨）	憔悴东风鬓影轻。年年春色苦关情。清魂无奈酒初醒。啼鸟数声人睡起，催花一霎雨还晴。断肠时节正清明。
浣溪沙（明·叶纨纨）	芳草依依道路斜。白云何处是仙家。空馀远碧暮云赊。红泪滴残清夜月，梦魂长绕淡梨花。几番临镜黯伤嗟。
浣溪沙（明·叶纨纨）	昨夜轻寒透薄罗。晓来微雨忽相过。红英一半已看无。好句漫成嫌未切，那知总为恨难模。日长双黛奈颦何。
浣溪沙（明·叶纨纨）	正是黄昏欲断凝。不堪帘外雨馀声。倚屏愁绝最难听。红烛来时朱户掩，篆香消处翠炉清。又看新月照疏棂。
浣溪沙（明·叶纨纨）	寂寂重帘画影沉。网丝牵恨入愁吟。浪痕和梦怨春深。罗袂暗松金缕扣，惜花潜减旧时心。小楼几日怯登临。
浣溪沙（明·叶纨纨）	燕子初来垒故巢。晓莺啼恨更添娇。一春都是等闲抛。不怨满庭风雨恶，只教终日梦魂消。东风空锁绿杨腰。
浣溪沙（明·叶纨纨）	一段春慵晓镜中。怕闻花气入帘栊。夜来思遍旧情踪。粉蝶迷残烟草绿，晚风落尽海棠红。凭栏千里暮云重。
浣溪沙（明·叶纨纨）	日日枝头堕粉香。东君何事苦匆忙。鸟啼花落送韶光。泪蹙翠山情杳杳，闷连青海思茫茫。含颦无语立斜阳。
浣溪沙（明·叶纨纨）	闲闷闲愁不自持。几回消尽又如丝。小庭惆怅日迟迟。细雨斜风寒食后，子规残月梦回时。此情试问有谁知。
