题春宵闻雁图（近现代末当代初·刘蘅）　　七言绝句　押元韵	花香月影浸柴门，山色迷离画水村。唯有雁声无着处，着人心上断人魂。
题烟水无边图（近现代末当代初·刘蘅）　　七言绝句　押删韵	清泉帛质挂重山，声入高楼几砚间。烟水无边成锦绣，此中不信是尘寰。
浣溪沙 自写溪桥暝色图（近现代末当代初·刘蘅）	野趣萧然见晚樵。闲挑暝色过溪桥。桥西风外酒帘飘。篱落青苔无履迹，林阴丸墨是鸦巢。夕阳红晕碧桃梢。
苏幕遮 石鼓山岁寒寮寄梅叟师（近现代末当代初·刘蘅）	树婆娑，山迤逦。绿带钟声，流到帘波底。凉处栏干宜独倚。古佛龛前，一粟灯光紫。对岩花，临涧水。耳目清和，如坐春风里。为问真机何处是。不著尘愁，可近连天未。
渡江云（近现代末当代初·刘蘅）	林阴沉碧处，细泉滴滴，恍似泪难收。意多宜独坐，坐转残更，夜色绝凄幽。天街一水，是银湾、回影西流。愁未埋、偏教明月，先到这边楼。凝眸。清辉在手，欲赠无由。恁多般僝僽。更此际、萤稀雁远，灯灺烟柔。东方若缓须叟白，问梦儿、还肯来不。人瘦也、怎堪盼断清秋。
满庭芳 对菊（近现代末当代初·刘蘅）　　押阳韵	云引天遥，烟扶峰矗，林衣脱绿翻黄。东篱疏雨，著意洗秋光。漫为幽花嫌晚，含滋久、凝艳方长。嗟群卉，徒贪受露，也要解凌霜。红尘匆代谢，鸿来燕去，节候空忙。好素襟相赏，冷处成芳。寒集虚庭易暝，蛩边事、留与商量。休孤负、黄昏静对，亸影傍琴床。
蝶恋花 送秋（近现代末当代初·刘蘅）	帘幕新寒笼薄雾。怕捡吴棉，镇日烘兰炷。篱菊欲留秋小住。霜风不肯容庭树。秋去应知何处去。啼雁声中，黯黯云边路。无限芦花江水暮。愁多莫向衡阳度。
琐窗寒 灯魂（近现代末当代初·刘蘅）	乍上光柔，初挑焰小，酿寒偏易。秋深白袷，早带许多凄意。恁依依、夜阑未销，暗分倩影罗帏里。爱傍人闲炙，飘帘无力，趁风摇曳。凝睇。屏山外。似有约炉烟，共盘心字。欲旋又转，自护嫣红双蕊。待招回、蝶憨梦中，玉缸背影支倦翠。恁抛人、斜月残钟，冉冉离窗纸。
蝶恋花 理琴（近现代末当代初·刘蘅）	自理瑶琴垂翠箔。旧谱能温，新谱偏慵学。满眼花飞情绪恶。暗尘和泪凝弦索。流恨春江云漠漠。弹到忘机，未冷鸥凫约。大抵山河闻徵角。妙音肯趁闲箫籥。
鹧鸪天 寄坚庐（近现代末当代初·刘蘅）	漠漠轻寒一片融。梨花淡白照帘栊。残香犹解存宵火，远梦争教误晓钟。吟未就，意先慵。闲书小句寄飞鸿。春光迟暮中年近，合有情怀与我同。
长亭怨慢 酒醒见月（近现代末当代初·刘蘅）	甚吹湿、香边云髻。一枕寒光，月明如水。院静杯空，为谁前夕尽情醉。试扶残梦，人犹在、惺忪里。镜影压阑干，恨不照、罗衣双倚。独自听啼鸦隔树，也被寺钟催起。凄清风露，都忘却、翠樽花底。问褪了、两颊轻红，剩多少、春酲情味。料此际天涯，端合凝愁无寐。
齐天乐 淇园海棠半开，适闻燹，将避地剑津识感（近现代末当代初·刘蘅）	绿章为乞春阴晚，杖头忽惊红浅。露薄难沾，风多又峭，那更骄阳犹煽。新妆漫换。便蕞土移根，嫩姿怎惯。碧迢凉波，自今花片恁飞满。鸳鸯尚贪梦煖。翠苹遮不住，眠也真稳。芍药回阑，垂杨曲渚，更有啼鹃谁管。岷江梦远。待衔去残脂，倩他轻燕。唤转柔魂，浊醪浇玉盏。
清平乐 雨窗（近现代末当代初·刘蘅）	林莺低唤。似劝拈金盏。几阵东风花外晚。吟醉商量都懒。楼扉镇日常关。何因还著春寒。今夜将愁消雨，任他双鬓添斑。
南乡子 新寒（近现代末当代初·刘蘅）　　押先韵	鸦背夕阳天。乍觉微寒到酒边。欲问梅花消息近，阶前。独鹤迎人耸瘦肩。出箧爱吴棉。认取衣香是旧年。犹有些儿离泪迹，堪怜。待试炉熏更惘然。
踏莎行 艺兰（近现代末当代初·刘蘅）	众草争荣，佳人难遇。瑶琴愁理幽兰谱。平生真赏托灵修，不因岑寂伤迟暮。旧畹亲移，寒泉密注。芳心一掬凭谁诉。为君纫佩劫君欢，秋魂浸化潇湘雨。
鹧鸪天 感春（近现代末当代初·刘蘅）	零落瑶华剩故枝。流莺衔雨尽情啼。那堪积黦黏沟叶，犹有余红湿路泥。春黯淡，意凄迷。挑灯愁读晚唐诗。明朝新绿池塘遍，忍泪看天问有谁。
风入松（近现代末当代初·刘蘅）	兰镫凝畴掩帘栊。睡意正惺忪。轻寒搁住天边梦，润鸡声、露气犹浓。墙竹千竿沐绿，窗梅几点舒红。思量碧海放征篷。鲸背揽长虹。神山彷佛琼楼畔，指灵台、自有崆峒。香里黄庭一卷，数声白鹤寥空。
蝶恋花 灯影（近现代末当代初·刘蘅）	露底楼禽都睡去。月色朦胧，隔著庭前树。人在凄清灯影处。夜分颓髻笼轻雾。倚枕添衾温茧绪。一穗缸花，中有愁千缕。照见秋魂来往路。香边帘幕重重护。
青玉案 鼓山岁寒寮（近现代末当代初·刘蘅）	抽身暂得离尘累。更休问、今何世。镇日焚香清扫地。岩霏芳润，林阴幽翳。新绿烘浓睡。醒来梦影随风曳。暮磬声中夕阳坠。涧水流花红欲腻。水肥花瘦，石斑苔绮。如画欹云外。
菩萨蛮（近现代末当代初·刘蘅）	春来已是为欢寡。春归几见杯重把。燕子向谁家。开帘拾坠花。隔烟凝望处。数颗垂杨树。飞絮正濛濛。吹愁又晚风。
