江阴城（近现代·沙曾达）　　七言绝句　押阳韵	江阴名昉自萧梁，州郡军乡溯暨阳。城绕一周馀九里，芙蓉别署永流芳①。
春晖门（东门）（近现代·沙曾达）　　七言绝句　押元韵	东方震卦属生门，紫气来时瑞霭屯。民乐春台人寿永，朝晖普照万家温。
朝宗门（近现代·沙曾达）　　七言绝句　押青韵	南望花山作画屏，当门翠耸立亭亭。江流汹涌凭疏瀹，万派朝宗注水经。
天庆门（西门）（近现代·沙曾达）　　七言绝句　押先韵	天开福祚庆连绵，城固金瓯亿万年。门对青山斜一角，西来爽气靖烽烟。
澄江门（近现代·沙曾达）　　七言绝句　押庚韵	北枕江山势不平，万千气象拥连城。门高远望天低水，岸影波光认孰清。
东西舜城（近现代·沙曾达）　　七言绝句　押真韵	舜城遗迹岂无因，界划东西访比邻。畴昔耕陶劳跋涉，有虞名满大江滨。
莫城（近现代·沙曾达）　　七言绝句　押庚韵	汉时海盗苦纵横，捍禦边疆筑土城。长寿乡南遗址在，莫王庙食纪芳名。
庾冰巷（近现代·沙曾达）　　七言绝句　押先韵	庾冰遗宅慨云烟，晋代名贤古巷传。都督三州成往事，相传旧址早栖禅。
南所巷（近现代·沙曾达）　　七言绝句　押阳韵	鲚鱼作贡重江乡，御食珍奇例献尝。咸晒随时应得所，石坊界下喜朝阳。
北锁巷（近现代·沙曾达）　　七言绝句　押先韵	巷口曾将古井穿，中藏铁鍊涌深泉。署名北锁知非误，邑乘章章纪旧编。
刘伶巷（近现代·沙曾达）　　七言绝句　押阳韵	巷署刘伶异酒乡，红羊浩劫感苍凉。经营平地花园辟，游客纷来快举觞。
栖霞巷（近现代·沙曾达）　　七言绝句　押东韵	霞光蔚起绕城东，高耸层楼振校风。多少儿童排队至，齐声弦诵震三公。
杜康桥（近现代·沙曾达）　　七言绝句　押阳韵	宅传酒圣承天寺，桥以人名忆杜康。利涉民生遗泽久，刘伶巷接共流芳。
圣母桥（近现代·沙曾达）　　七言绝句　押阳韵	海市蜃楼孰主张，盛衰尘世感沧桑。桥镌圣母祠安在？为访东陵旧事详。
兴国寺塔（近现代·沙曾达）　　七言绝句　押庚韵	巍然古塔耸西城，炮弹横遭削不平。艳说前朝孙母迹，任栖百鸟乐飞鸣。
舜过井（近现代·沙曾达）　　七言绝句　押歌韵	古井由来静不波，有虞疏凿等江河。四围柱石埋荆棘，利及同人乐咏歌。
广济泉（近现代·沙曾达）　　七言绝句　押先韵	四眼回环一气连，沧桑世易井依然。任人汲引源无竭，色味清甘比惠泉。
三公祠（近现代·沙曾达）　　七言绝句　押尤韵	山河泪洒感同舟，铁石心肝迥不侔。百里孤城甘死守，芳名鼎峙足千秋。
二侯祠（近现代·沙曾达）　　七言绝句　押庚韵	从龙辅弼纪勋名，吴氏同袍有弟兄。坐镇江山多战绩，馨香俎豆祀蓉城。
戚公祠（近现代·沙曾达）　　七言绝句　押文韵	戚氏一门十七口，合家殉节惨难闻。可怜白骨今何在？两冢名垂主仆分。
