先秦	乎	11
先秦	耶	0
先秦	兮	19
先秦	哉	8
先秦	夫	9
先秦	矣	5
先秦	也	5
秦	乎	0
秦	耶	0
秦	兮	0
秦	哉	0
秦	夫	0
秦	矣	0
秦	也	0
汉	乎	8
汉	耶	0
汉	兮	53
汉	哉	11
汉	夫	12
汉	矣	11
汉	也	2
魏晋	乎	19
魏晋	耶	2
魏晋	兮	30
魏晋	哉	59
魏晋	夫	36
魏晋	矣	44
魏晋	也	12
南北朝	乎	5
南北朝	耶	1
南北朝	兮	21
南北朝	哉	50
南北朝	夫	47
南北朝	矣	34
南北朝	也	5
隋	乎	2
隋	耶	0
隋	兮	5
隋	哉	14
隋	夫	11
隋	矣	9
隋	也	3
唐	乎	16
唐	耶	20
唐	兮	110
唐	哉	122
唐	夫	224
唐	矣	56
唐	也	117
宋	乎	119
宋	耶	49
宋	兮	217
宋	哉	443
宋	夫	810
宋	矣	342
宋	也	709
辽	乎	0
辽	耶	0
辽	兮	2
辽	哉	0
辽	夫	0
辽	矣	0
辽	也	0
金	乎	5
金	耶	2
金	兮	3
金	哉	20
金	夫	50
金	矣	26
金	也	36
元	乎	22
元	耶	17
元	兮	73
元	哉	79
元	夫	249
元	矣	73
元	也	174
明	乎	64
明	耶	44
明	兮	87
明	哉	205
明	夫	476
明	矣	154
明	也	284
清	乎	360
清	耶	107
清	兮	236
清	哉	749
清	夫	1028
清	矣	458
清	也	1013
近现代	乎	36
近现代	耶	26
近现代	兮	43
近现代	哉	48
近现代	夫	142
近现代	矣	108
近现代	也	326
当代	乎	5
当代	耶	8
当代	兮	9
当代	哉	16
当代	夫	25
当代	矣	26
当代	也	58
