题《积木词》卷尾（近现代·顾随）　　七言绝句　押支韵	重抛心力赋新词，霜鬓星星映短髭。宿酒三更和梦醒，廿年心事夜灯知。
蝶恋花 海上书怀寄呈屏兄。（近现代·顾随）	少岁诗书成自误。将近中年，有甚佳情绪。仆仆风尘衣食路。茫茫湖海来还去。殢酒销愁愁更苦。醉里高歌，醒后心无主。客舍怕听闲笑语。开窗又见廉纤雨。
生查子（近现代·顾随）	当年血战踪，试问谁曾见。相对话兴衰，剩有双双燕。男儿白发生，挥泪肠应断。海水泣斜阳，又被风声乱。
南歌子（近现代·顾随）	倦续黄粱梦，闲倾碧玉杯。醒来还是旧情怀。爱看斜阳沈在碧山隈。浪软温柔海，灯明上下街。中原却被夜深埋。那更秋风秋雨逐人来。
临江仙 送君培（冯至，字君培）北上（近现代·顾随）	去岁天坛曾看雨，而今海上秋风。别离又向月明中。沙滩潮定后，残浪与谁同。把酒劝君君且醉，奠言我辈终穷。中原逐鹿几英雄。文章千古事，手障万流东。
临江仙（近现代·顾随）	三载光阴东逝水，问君事业何如。七长八短数茎须。更无真面目，负此好头颅。记得当年携酒处，宵深月满平湖。白莲香嫩著花初。今宵残月在，梦到济南无。
少年游（近现代·顾随）	饱尝苦酒，閒成闷睡，此意自家知。海水温柔，天魔冶艳，苦愿老于斯。鳞伤遍体疤痕在，剩有命如丝。休矣先生，几根胡子，卖却少年时。
定风波（近现代·顾随）	纵酒吟诗莫说愁。晚来天气好清游。镇日西风吹碧浪。波上。长空万里几渔舟。树树霜枫红似锦。缘甚。满林黄叶不禁秋。腰脚中年应末老。谁道。归来已是怕登楼。
破阵子 寄内（近现代·顾随）	飘荡满林黄叶，凄凉镇日空斋。十月霜风吹正紧，一寸眉心展不开。寒衣谁与裁。卖赋无聊事业。衔杯潦倒情怀。早想云中传雁信，直到而今尚自猜。雁儿来不来。
蝶恋花 前意不畅，再赋此即寄荫君（近现代·顾随）	仆仆风尘何所有。遍体辫伤，直把心伤透。衣上泪痕新叠旧。愁深酒浅年年瘦。归去劳君为补救。一一伤痕，整理安排就。更要閒时舒玉手。熨平三缕眉心皱。
临江仙（近现代·顾随）	无赖渐成颓废，衔杯且自从容。霜枫犹似日前红。争知林下叶，不怨夜来风。病酒重重新恨，布袍看看深冬。石阑干畔与谁同。天边无伴月，海上一孤鸿。
采桑子（近现代·顾随）	重来携酒高歌地，依旧飞沙。依旧啼鸦。绕遍湖堤不见花。惯经作客凄凉味，便不思家。争奈天涯。醉卧醒来日又斜。
八声甘州 春日赋寄荫君（近现代·顾随）	嫩朝阳一抹上窗纱，依然旧书斋。尽朝朝暮暮，风风雨雨，有甚情怀。记得君曾劝我，珍重瘦形骸。不怨吾衰甚。如此生涯。底事年年轻别，只异乡情调，逐事堪哀。看两行樱树，指日便花开。好遗君二三花朵，佐晨妆、簪上翠鸾钗。算同我、赋诗携手，共度春来。
钗头凤（近现代·顾随）	登临废。雄心退。无聊不是愁滋味。山容秀。波纹皱。海宽天远，怎生消受。瘦。瘦。瘦。疏林内。猧儿吠。隔邻女卸残妆未。黄昏后。灯如豆。异乡情调，嫩寒时候。又。又。又。
贺新凉（近现代·顾随）	海上春无主。嫩杨枝、匀黄未遍，怎生飘絮。姹紫嫣红无消息，谩道美人迟暮。算只有、几行樱树。细雨初睛残照里，被春风吹落枝头露。花未放。艳如许。花如解恨花应语。是伊谁、东瀛取种，移栽中土。故国华魂飞不刭，一片异乡情绪。便待得、嬉春游侣。十里红霞迷望眼，更香车宝马樱花路。谁会得，此心苦。
好事近（近现代·顾随）	几日东风暖，惟有杏花偏懒。山下木兰才放，甚春深春浅。衔泥双燕未归来，寂寞空庭晚。谁去画梁相对，说春长春短。
高阳台（近现代·顾随）	客里高歌，愁来善病，难忘小扇题诗。黄叶飘零，年年长怕秋时。而今更似空心柳，弄晚晴、无力垂丝。便销磨、暖日薰风，依旧枯枝。浮生事业真休矣，剩盈籀故纸，半卷新词。一朵空花，宵深入梦还迟。醒来眼底苍茫甚，正打窗、夜雨凄其。镇伤心、愁也无名，说与谁知①。
浣溪纱（近现代·顾随）	行尽山巅又水涯。依前毡笠与青鞋。可怜全没好情怀。晚汐有声随月上，夭桃无力背风开。凭阑且待燕归来。
木兰花慢（近现代·顾随）	蓦青山翠敛，搅烟雾，渐氤氲。更一片潮声，半天风色，相与纷纭。遥巡。过山傍海，看模胡、身外总浮云。几点枝头露水，趁风滴落衣巾。销魂。春去了无痕。花谢革如菌。记忠魂碑下，红裙倭女，三五成群。殷勤。向人笑语，又攀枝、著意共花亲。不道而今剩有，苍茫一个黄昏。
踏莎行（近现代·顾随）	已撤冰壶，更捐秋扇。客中漫说柔肠断。故乡岂只少湖山，宵深也没流萤看。叶底花前，乍明还暗。随波去作寒星散。不知能有几多光，共人彻夜心撩乱。
