付法颂（唐·慧能）　　五言绝句　押庚韵	心地含情种，法雨即花生。自悟花情种，菩提果自成。
拟达摩和尚颂二首（题拟） 其一（唐·慧能）　　五言绝句　押支韵	心地邪花放，五叶逐根随。共造无明业，见被业风吹。
拟达摩和尚颂二首（题拟） 其二（唐·慧能）　　押支韵	心地正花放，五叶逐根随。共修般若惠，当来佛菩提。
无相颂（唐·慧能）	愚人修福不修道，谓言修福而是道。布施供养福无边，心中三恶元来造。若将修福欲灭罪，后世得福罪元在。若解向心除罪缘，各自性中真忏悔。若悟大乘真忏悔，除邪行正即无罪。学道之人能自观，即与悟人同一类。大师令传此顿教，愿学之人同一体。若欲当来觅本身，三毒恶缘心中洗。努力修道莫悠悠，忽然虚度一世休。若遇大乘顿教法，虔诚合掌至心求。
自性真佛解脱颂（唐·慧能）	真如净性是真佛，邪见三毒是真魔。邪见之人魔在舍，正见知人魔则过。性中邪见三毒生，即是魔王来住舍。正见忽除三毒心，魔变成佛真无假。化身报身及法身，三身元本是一身。若向身中觅自见，即是成佛菩提因。本从化身生净性，净性常在化身中。性使化身行正道，当来圆满真无穷。淫性本是清净因，除淫即无净性身。性中但自离五欲，见性刹那即是真。今生若悟顿教门，悟即眼前见世尊。若欲修行云觅佛，不知何处欲求真。若能心中自见真，有真即是成佛因。自不求真外觅佛，去觅总是大痴人。顿教法者是西流，救度世人须自修。今报世间学道者，不于此见大悠悠。
修行颂（唐·慧能）	说通及心通，如日处虚空。惟传顿教法，出世破邪宗。教即无顿渐，迷悟有迟疾。若学顿教法，愚人不可悉。说即须万般，合离还归一。烦恼暗宅中，常须生惠日。邪来因烦恼，正来烦恼除。邪正悉不用，清净至无馀。菩提本清净，起心即是妄。净性在妄中，但正除三障。世间若修道，一切尽不妨。常见自己过，与道即相当。色类自有道，离道别觅道。觅道不见道，到头还自恼。若欲见真道，行正即是道。自若无正心，暗行不见道。若真修道人，不见世间过。若见世间非，自非却是左。他非我无罪，我非自有罪。但自去非心，打破烦恼碎。若欲化愚人，是须有方便。勿令彼有疑，即有菩提现。法元在世间，于世出世间。勿离世间上，外求出世间。邪见是世间，正见出世间。邪正悉打却，菩提性宛然。此但是顿教，亦名为大乘。迷来经累劫，悟则刹那间。
僧举卧轮禅师偈作此相示（题拟）（唐·慧能）　　押养韵	惠能没伎俩，不断百思想。对镜心数起，菩提作么长。
示志诚偈二首 其一（唐·慧能）　　押个韵	生来坐不卧，死去卧不坐。一具臭骨头，何为立功过。
无相颂（唐·慧能）	心平何劳持戒，行直何用修禅？恩则孝养父母，义则上下相怜。让则尊卑和睦，忍则众恶无喧。若能钻木取火，淤泥定生红莲。苦口的是良药，逆耳必是忠言。改过必生智慧，护短心内非贤。日用常行饶益，成道非由施钱。菩提祇向心觅，何劳向外求玄。听说依此修行，天堂祇在目前。
偈（唐·慧能）　　押灰韵	菩提本无树，明镜亦无台。本来无一物，何处惹尘埃。
临灭偈（题拟）（唐·慧能）　　押药韵	兀兀不修善，腾腾不造恶。寂寂断见闻，荡荡心无著。
示法达偈三首（唐·慧能）　　押寘韵	礼本折慢幢，头奚不至地？有我罪即生，亡功福无比。
示智通偈（唐·慧能）	自性具三身，发明成四智。不离见闻缘，超然登佛地。吾今为汝说，谛信永无迷。莫学驰求者，终日说菩提。
示智通偈（唐·慧能）	大圆镜智性清净，平等性智心无病。妙观察智见非功，成所作智同圆镜。五八六七果因转，但用名言无实性。若于转处不留情，繁兴永处那伽定。
示智常偈（唐·慧能）　　押霰韵	不见一法存无见，不似浮云遮日面。不知一法守空知，还如太虚生闪电。此之知见瞥然兴，错认何曾解方便。汝当一念自知非，自己灵光常显现。
示志诚偈二首 其二（唐·慧能）	心地无非自性戒。心地无痴自性慧。心地无乱自性定。不增不减自金刚，身去身来本三昧。
