闻猿（唐·苏拯）　　七言绝句　押纸韵	秋风飒飒猿声起，客恨猿哀一相似。漫向孤危惊客心，何曾解入笙歌耳。
颂鲁（唐·苏拯）	天推鲁仲尼，周游布典坟。游遍七十国，不令遇一君。一国如一遇，单车不转轮。良由至化力，为国不为身。礼乐行未足，邅回厄于陈。礼乐今有馀，衮旒当圣人。伤哉绝粮议，千载误云云。
医人（唐·苏拯）　　押真韵	古人医在心，心正药自真。今人医在手，手滥药不神。我愿天地炉，多衔扁鹊身。遍行君臣药，先从冻馁均。自然六合内，少闻贫病人。
西施（唐·苏拯）	吴王从骄佚，天产西施出。岂徒伐一人，所希救群物。良由上天意，恶盈戒奢侈。不独破吴国，不独生越水。在周名褒姒，在纣名妲己。变化本多涂，生杀亦如此。君王政不修，立地生西子。
金谷园（唐·苏拯）	积金累作山，山高小于址。栽花比绿珠，花落还相似。徒有敌国富，不能买东市。徒有绝世容，不能楼上死。秪此上高楼，何如在平地。
巫山（唐·苏拯）　　押语韵	昔时亦云雨，今时亦云雨。自是荒淫多，梦得巫山女。从来圣明君，可听妖魅语。只今峰上云，徒自生容与。
贾客（唐·苏拯）	长帆挂短舟，所愿疾如箭。得丧一惊飘，生死无良贱。不谓天不祐，自是人苟患。尝言海利深，利深不如浅。
狡兔行（唐·苏拯）　　押马韵	秋来无骨肥，鹰犬遍原野。草中三穴无处藏，何况平田无穴者。
长城（唐·苏拯）	嬴氏设防胡，烝沙筑冤垒。蒙公取勋名，岂算生民死。运畚力不禁，碎身砂碛里。黔黎欲半空，长城舂未已。皇天潜鼓怒，力化一女子。遂使万雉崩，不尽数行泪。自古进身者，本非陷物致。当时文德修，不到三世地。
织妇女（唐·苏拯）	伊余尽少女，一种饰螓首。徒能事机杼，与之作歌舞。歌舞片时间，黄金翻袖取。秪看舞者乐，岂念织者苦。感此尝忆古人言，一妇不织天下寒。
古塞下（唐·苏拯）　　押月韵	百战已休兵，寒云愁未歇。血染长城沙，马踏征人骨。早得用蛾眉，免陷边戍卒。始知髦头星，不在弯弓没。
水旱祷（唐·苏拯）　　押寘韵	祷祈勿告天，酒浆勿浇地。阴阳和也无妖气，阴阳愆期乃人致。病生心腹不自医，古屋澄潭何①神祟。
邹律（唐·苏拯）	邹律暖燕谷，青史徒编录。人心不变迁，空吹闲草木。世患有三惑，尔律莫能抑。边苦有长征，尔律莫能息。斯术未济时，斯律亦何益。争如至公一开口，吹起贤良霸邦国。
蜘蛛谕（唐·苏拯）	春蚕吐出丝，济世功不绝。蜘蛛吐出丝，飞虫成聚血。蚕丝何专利，尔丝何专孽。映日张网罗，遮天亦何别。傥居要地门，害物可堪说。网成虽福己，网败还祸尔。小人与君子，利害一如此。
猎犬行（唐·苏拯）	猎犬未成行，狐兔无奈何。猎犬今盈群，狐兔依旧多。自尔初跳跃，人言多拿躩。常指天外狼，立可口中嚼。骨长毛衣重，烧残烟草薄。狡兔何曾擒，时把家鸡捉。食尽者饭翻，增养者恶壮。可嗟猎犬壮复壮，不堪兔绝良弓丧。
断火谣（唐·苏拯）　　押哿韵	谁谓之推贤，于世何功果。绝尔晋侯交，禁我唐虞火。国闭檀榆烟，大礼成隳堕。暗室枯槁饭，冷面相看坐。阳升既非佑，阴伏若为佐。焉冻群生腹，将止天下祸。但究冤滥刑，天（一作又）道无不可。鄙哉前朝翊赞臣，吁谟之规何琐琐。
思妇吟（唐·苏拯）　　押皓韵	秋风雁又归，边信一何早。揽衣出门望，落叶满长道。一从秉箕帚，十载孤怀抱。可堪日日醉宠荣，不说思君令人老。
雉兔者（唐·苏拯）	所猎一何酷，终年耗林麓。飞走如未空，贪残岂知足。尝闻猎书史，可以鉴荣辱。尝闻猎贤良，可以霸邦国。如何纵网罗，空成肥骨肉。和济俱不闻，曷所禳颠覆。谁能为扣天地炉，铸此伤生其可乎。
药草（唐·苏拯）　　押职韵	天子恤疲瘵，坤灵奉其职。年年济世功，贵贱相兼植。因产众草中，所希采者识。一枝当若神，千金亦何直。生草不生药，无以彰土德。生药不生草，无以彰奇特。国忠在臣贤，民患凭药力。灵草犹如此，贤人岂多得。
凡草诫（唐·苏拯）	野草凡不凡，亦应生和出。锄夫耘药栏，根不留其一。良由本芜秽，著地成弃物。人生行不修，何门可容膝。不唯不尔容，得无凡草嫉。贤愚偃仰间，鉴之宜日日。
