商州（题拟）（唐·李涉）　　五言绝句　押先韵	宫址蔓生草，洞门低枕泉。废兴人目击，何处是神仙？
重登滕王阁（唐·李涉）　　七言绝句　押尤韵	滕王阁上唱伊州，二十年前向此游。半是半非君莫问，好山长在水长流。
再至长安（唐·李涉）　　七言绝句　押真韵	十年谪宦鬼方人，三遇鸿恩始到秦。今日九衢骑马望，却疑浑是刹那身。
赠道器法师（唐·李涉）　　七言绝句　押支韵	冰作形①容雪作眉，早知谈论两川知。如今不用空求佛，但把令狐宰相诗。
庐山得元侍御书（唐·李涉）　　七言绝句　押冬韵	惭君知我命龙钟，一纸书来意万重。正著白衣寻古寺，忽然邮递到云峰。
京口送朱昼之淮南（唐·李涉）　　七言绝句　押寒韵	两行客泪愁中落，万树山花雨后①残。君到扬州见桃叶，为传风水渡江难。
题鹤林寺僧舍（寺在镇江）（唐·李涉）　　七言绝句　押删韵	终日昏昏醉梦间，忽闻春尽强登山。因过竹院逢僧话，又①得浮生半日闲。
重过文上人院（唐·李涉）　　七言绝句　押东韵	南随越鸟北燕鸿，松月三年别远公。无限心中不平事，一宵清话又成空。
双峰寺得舍弟书（唐·李涉）　　七言绝句　押支韵	暂入松门拜祖师，殷勤再读塔前碑。回头忽向①寻阳使，太守如今是惠持。
木兰花（唐·李涉）　　七言绝句　押支韵	碧落真人著紫衣，始堪相并木兰枝。今朝绕郭花看遍，尽是深村田舍儿。
过招隐寺（唐·李涉）　　七言绝句　押支韵	每忆中林访惠持，今来正遇早春时。自从休去无心事，唯向高僧说便知。
酬举生许遇山居（唐·李涉）　　七言绝句　押虞韵	琉璃潭上新秋月，清净泉中智惠珠。不似本宗疏二教，许过云壑访潜夫。
春晚游鹤林寺寄使府诸公（唐·李涉）　　七言绝句　押支韵	野寺寻花春已迟，背岩唯有两三枝。明朝携酒犹堪赏①，为报春风且莫吹。
题开圣寺（唐·李涉）　　七言绝句　押冬韵	宿雨初收草木浓，群鸦飞散下堂钟。长廊无事僧归院，尽日门前独看松。
奉使淮南（唐·李涉）　　七言绝句　押尤韵	汉使徵兵诏未休，两行①旌旆接扬州。试上高楼望春色，一年风景尽堪愁。
登北固山亭（唐·李涉）　　七言绝句　押庚韵	海绕重山江抱城，隋家宫苑此分明。居人不觉三吴恨，却笑关河①又战争。
秋日过员太祝林园（唐·李涉）　　七言绝句　押鱼韵	望水寻山二里馀，竹林斜到地仙居。秋光何处堪消日，玄晏先生满架书。
题武关（唐·李涉）　　七言绝句　押侵韵	来往悲欢万里心，多从此路计浮沈。皆缘不得空门要，舜葬苍梧直至今。
题温泉（唐·李涉）　　七言绝句　押真韵	能使时平四十春，开元圣主得贤臣。当时姚宋并燕许，尽是骊山从驾人。
经涢川馆寄使府群公（唐·李涉）　　七言绝句　押鱼韵	涢川水竹十家馀，渔艇蓬门对岸居。大胜尘中走鞍马，与他军府判文书。
