送王季野侍父入京（元·屠性）　　七言律诗　押东韵	江左风流属过翁，赋成入奏大明宫。未应膝上留文度，还向谈边见阿戎。《金缕》东风歌折柳，锦帆迟日带归鸿。六龙清暑滦河上，扈从应驰白玉骢。
馆娃宫（元·屠性）　　七言律诗　押东韵	栖越归来此筑宫，佳人欲与死生同。鸱夷始见投江上，乌喙俄闻赐甬东。木落秋波环佩冷，草生故国绮罗空。几回香水溪头望，飞雉犹翻夕照红。
山阁（元·屠性）　　七言律诗　押歌韵	幽居只在碧山阿，高阁凌虚带女萝。门外水生春渚白，窗前云起夕阴多。藏书每许邻人借，酿酒时邀野老过。见说南冈千岁柏，倚阑安得眄柔柯。
和潘子弃韵（元·屠性）　　七言律诗　押歌韵	云林精舍傍岩阿，中有行吟十二窝。陆羽泉清童汲惯，潘郎诗好客酬多。茅山猿鹤惊春晓，楚水鱼龙落夜波。归去不成千里别，抱琴重约听樵歌。
送赵季文（元·屠性）　　七言律诗　押尤韵	湖州此去百馀里，公子之官是胜游。细雨澹藏城外寺，垂杨齐拂水边楼。妙年未厌官曹剧，大府仍闻礼数优。日日高堂具甘旨，白鱼须寄霅溪头。
送智教授兼简郭思道录事（元·屠性）　　七言律诗　押鱼韵	先生去作州博士，尚忆沧浪水竹居。研露自临修禊帖，闭门欲著绝交书。九江城外春帆近，五老峰前晓雁疏。此去谈经有馀暇，参军为我问何如？
金粟影（元·屠性）　　七言律诗　押寒韵	桂树丛生双涧侧，玄堂羽盖拥团团。流膏久矣成芝菌，结荫终当集凤鸾。雨露春深增怵惕，溪山秋晚耐高寒。淮南不用歌《招隐》，留与云仍百世看。
竹桃（元·屠性）　　五言绝句　押灰韵	仙子吹笙处，碧桃花正开。花边有竹实，留待凤归来。
竹菊（元·屠性）　　五言绝句　押灰韵	曾向山中住，黄花烂漫栽。主人缘爱竹，三径不教开。
竹棠梨（元·屠性）　　五言绝句　押鱼韵	石畔竹扶疏，棠梨结子初。坐来山雨过，湿翠欲沾裾。
竹梅（元·屠性）　　五言绝句　押寒韵	美人湘浦去，翠袖倚琅玕。横笛吹霜晓，遥知不耐寒。
送人赴彭湖巡检（元·屠性）　　七言绝句　押虞韵	三十六岛绕彭湖，见说泉南天下无。花时小队旌旗出，处处春风啼鹧鸪。
题马二首（元·屠性）　　七言绝句　押东韵	渥洼神水与天通，汗血淋漓带赤騣。明日甘泉祠泰畤，和銮声在五云中。
和西湖竹枝词（元·屠性）　　押麻韵	二八女儿双髻丫，黄金条脱银条纱。清歌一曲放船去，买得新妆茉莉花。
